,Date,Open,High,Low,Close,Volume,Company
0,10-Jan-18,87.86,88.19,87.41,87.82,18652201,microsoft
1,11-Jan-18,88.13,88.13,87.24,88.08,17808877,microsoft
2,12-Jan-18,88.67,89.78,88.45,89.6,24271531,microsoft
3,16-Jan-18,90.1,90.79,88.01,88.35,36599736,microsoft
4,17-Jan-18,89.08,90.28,88.75,90.14,25621164,microsoft
5,18-Jan-18,89.8,90.67,89.66,90.1,24159683,microsoft
6,19-Jan-18,90.14,90.61,89.66,90,36875013,microsoft
7,22-Jan-18,90,91.62,89.74,91.61,23601555,microsoft
8,23-Jan-18,91.9,92.3,91.54,91.9,23412841,microsoft
9,24-Jan-18,92.55,93.43,91.58,91.82,33277483,microsoft
10,25-Jan-18,92.46,93.24,91.93,92.33,26383238,microsoft
11,26-Jan-18,93.12,94.06,92.58,94.06,29172167,microsoft
12,29-Jan-18,95.14,95.45,93.72,93.92,31569940,microsoft
13,30-Jan-18,93.3,93.66,92.1,92.74,38635053,microsoft
14,31-Jan-18,93.75,95.4,93.51,95.01,48756338,microsoft
15,1-Feb-18,94.79,96.07,93.58,94.26,47227882,microsoft
16,2-Feb-18,93.64,93.97,91.5,91.78,47867753,microsoft
17,5-Feb-18,90.56,93.24,88,88,51031465,microsoft
18,6-Feb-18,86.89,91.48,85.25,91.33,67998564,microsoft
19,7-Feb-18,90.49,91.77,89.2,89.61,41107592,microsoft
20,8-Feb-18,89.71,89.88,84.76,85.01,55628657,microsoft
21,9-Feb-18,86.3,88.93,83.83,88.18,63499065,microsoft
22,12-Feb-18,88.74,89.78,87.93,89.13,35720341,microsoft
23,13-Feb-18,88.93,90,87.8,89.83,26407702,microsoft
24,14-Feb-18,88.51,90.99,88.41,90.81,34960912,microsoft
25,15-Feb-18,91.21,92.72,90.62,92.66,27823866,microsoft
26,16-Feb-18,92.45,93.5,91.8,92,30596919,microsoft
27,20-Feb-18,91.48,93.06,91.01,92.72,30911725,microsoft
28,21-Feb-18,92.98,93.36,91.49,91.49,26922503,microsoft
29,22-Feb-18,92.05,92.73,91.36,91.73,24392753,microsoft
30,23-Feb-18,93.6,94.07,92.36,94.06,26329226,microsoft
31,26-Feb-18,94.4,95.45,94.25,95.42,30199846,microsoft
32,27-Feb-18,95.74,95.84,94.2,94.2,25869119,microsoft
33,28-Feb-18,94.84,95.7,93.63,93.77,31167338,microsoft
34,1-Mar-18,93.99,94.57,91.84,92.85,37135561,microsoft
35,2-Mar-18,91.58,93.15,90.86,93.05,32830389,microsoft
36,5-Mar-18,92.34,94.27,92.26,93.64,23901578,microsoft
37,6-Mar-18,94.34,94.49,92.94,93.32,22175776,microsoft
