bank,Title,entryDate,Lable,Article
Ctit Group,"Citigroup Says Loan, Kushner Talk Unrelated"," Mar 22, 2018",0,"Citigroup Inc. said in a letter sent Tuesday to lawmakers that a loan made to Kushner Cos. shortly after the bank's chief executive met with Jared Kushner last year was ""completely appropriate.""

Kushner Cos. also disclosed Wednesday that it had recently received a separate $200 million loan from the bank.

The bank has faced questions about its dealings with Kushner Cos. following a White House meeting between its chief executive and Mr. Kushner.

On March 3, 2017, Citi Chief Executive Michael Corbat met with Mr. Kushner, President Donald Trump's son-in-law and a senior adviser to the president. On March 31 of that year, Kushner Cos., which is controlled by members of Mr. Kushner's family, and two partner firms closed on a $325 million mortgage for a Brooklyn property with Citigroup, according to the bank.

Sen. Elizabeth Warren (D., Mass.) and other lawmakers requested more information about the meeting from the bank after it was reported on by the New York Times last month.

Responding to that request, Citigroup's letter said ""the Kushner family has been a client of Citi for decades."" It added the bank started exploring the March loan in late 2016 before Mr. Corbat and Mr. Kushner met.

Mr. Corbat ""was unaware of the transaction"" until the article was published, and the loan didn't require his approval, the bank said.

""This transaction was done in the normal course of Citi's commercial real estate lending business, received the necessary credit and risk approvals without input from Mr. Corbat,and was unrelated to any discussions with Mr. Kushner,"" the bank wrote.

Mr. Corbat requested the meeting with Mr. Kushner with the purpose of discussing U.S. trade policy and the North American Free Trade Agreement, the bank said."
Ctit Group,Business &amp;amp; Finance," Mar 22, 2018",0,"The Fed voted to raise its benchmark rate by a quarter point and signaled it could pick up the pace of increases to cool growth after next year.

Stocks erased gains and closed lower after the Fed meeting. The Dow shed 44.96 points to 24682.31.

---

Facebook's Zuckerberg broke his silence amid an uproar over how outsiders handle the social network's user data, admitting mistakes.

---

A video of the fatal accident involving an Uber self-driving car appears to show the vehicle heading straight into a pedestrian.

---

General Mills will raise prices on some meals and snacks to reflect higher ingredient and shipping costs.

---

Median pay for CEOs of 133 of the largest U.S. companies reached an all-time high of $11.6 million in 2017.

---

The EU unveiled sweeping legislative proposals that would raise taxes on big technology companies.

---

MGM fired its CEO amid disagreement over whether the studio was well-positioned for growth.

---

Apple's Iovine will transition into a consulting role and step back from the firm's streaming-music business.

---

Dropbox raised its IPO valuation and share-price target amid strong demand.

---

FedEx said earnings at its express business dropped sharply last quarter.

---

Citigroup said a loan to Kushner Cos. was ""completely appropriate."""
Ctit Group,Business News: BofA Curbs Loan Type After Steinhoff Loss," Mar 21, 2018",1,"Bank of America Corp. has wrapped up its internal review of its $292 million loss involving troubled South African firm Steinhoff International Holdings NV and dialed back its appetite for the type of stock-based loan that caused the loss, people familiar with the matter said.

Bank of America was one of a number of global lenders that held pieces of a 1.6 billion euro ($2 billion) loan to Christo Wiese, then chairman of the South African retailer. Mr. Wiese's shares in the company served as collateral for the financing. Those shares collapsed in value last fall after the retailer, which owns Mattress Firm and the Sleepy's brand, disclosed accounting irregularities.

The bank said in a statement Tuesday that its review of the loss is finished. It said the responsible thing to do with such a loss is to ""review it carefully, see if we missed something, and apply any lessons for the future,"" adding that the ""core cause"" of the loss was due to the behavior of another party.

The review has led the bank to dial back its appetite for collateralized loans to individuals that are backed solely by a borrower's holdings of a single stock. These loans leave a bank with few good options if the stock price collapses.

The collapse in the Steinhoff share price hit Mr. Wiese's lenders hard. In addition to Bank of America, Citigroup Inc., JPMorgan Chase & Co. and Goldman Sachs Group disclosed losses to what was typically described as a single-name client in the fourth quarter.

The company involved, people familiar with the matter said, was Steinhoff."
Ctit Group,Big Winners in Bill to Help Small Banks," Mar 15, 2018",1,"[Financial Analysis and Commentary]

Three of the biggest winners, in a bill meant to help small and midsize banks, are anything but.

The bill, championed by Senate Banking Committee Chairman Mike Crapo, would raise the threshold for stricter oversight by the Federal Reserve to $250 billion in assets from $50 billion, a boon for midsize regional lenders. It also contains measures to reduce the burden of regulation on smaller community banks.

Thanks to this focus, it garnered enough Democratic support to pass in the Senate, despite strong opposition from the likes of Sen. Elizabeth Warren, who calls it a gift to Wall Street.

Another group of banks that dwarf these small lenders stands to get a healthy profit boost if the bill goes through: Bank of New York Mellon, with $372 billion of assets on its balance sheet; State Street, with $238 billion; and Northern Trust Corp., at $139 billion. These banks are more important than they might seem because they manage or have under custody trillions of dollars of assets.

These custody banks specialize in safekeeping the securities of institutional investors like mutual funds. Under the bill, they would be able to exclude some deposits they hold at the Federal Reserve or other central banks from their total assets when calculating total leverage. No other banks, big or small, get such a benefit.

The argument is that assets held at the Fed are free of risk, so banks shouldn't have to hold capital against them. The custody banks hold a disproportionate share of Fed deposits.

The impact could be quite significant. Keefe, Bruyette and Woods analyst Brian Kleinhanzl estimates the change could boost earnings per share at the two biggest custody banks by around 8%, assuming they use the freed-up capital to invest in other profit-generating assets.

JPMorgan Chase and Citigroup, which have their own custody businesses, aren't granted the same exemption. This exclusion appears to be due to them still having negative reputations on Capitol Hill. Helping them out would jeopardize the bill's chance of passage.

Still, it makes no sense that central-bank deposits, if they are truly risk-free, be treated differently for different banks. The U.S. Treasury's report on financial regulation last year proposed that all banks be able to exclude Fed deposits from their leverage ratios. It also is jarring that such big custody banks will benefit from a bill designed to help smaller banks.

The fact that Congress narrowed the exemption to three banks that happen not to be household names says something about the current political climate. Even with Donald Trump in the White House and Republicans controlling Congress, politicians don't want to appear to be doing anything to help the most well-known Wall Street banks."
Ctit Group,Goldman Anoints Heir to Blankfein," Mar 13, 2018",1,"David Solomon became the heir apparent at Goldman Sachs Group Inc. Monday after his main rival for the top job abruptly resigned, moves that show the Wall Street powerhouse is continuing to move beyond its trading roots.

The surprise announcement came after Goldman's board of directors last month anointed Mr. Solomon as the eventual successor to current Chief Executive Lloyd Blankfein, over co-President Harvey Schwartz, according to people familiar with the matter.

The Wall Street Journal reported last week that Mr. Blankfein could retire as soon as year-end, though he remains firmly in control of his exit. Messrs. Schwartz, 54, and Solomon, 56, who were jointly elevated to the No. 2 role in December 2016, were the top contenders to succeed him.

The two hail from different parts of the firm. Mr. Solomon is a longtime investment banker who DJs on the side. Mr. Schwartz, a karate black belt, scaled the ranks of Goldman's trading arm on his way to becoming chief financial officer.

In choosing Mr. Solomon, Goldman is going with a business builder who is respected, if not universally loved, inside the firm. The move amounts to a bet that the coming decade will look little like the last one, as Goldman continues to evolve from a secretive trading powerhouse into a more entrepreneurial place.

The two men were told of the board's decision last week, at which point Mr. Schwartz, who was informed upon his return from a West Coast trip, said he would leave, people familiar with the matter said.

Mr. Blankfein shared the news Monday morning with the firm's management committee, a group of about 35 top officials. ""Harvey's leaving the firm,"" the typically blunt CEO said, according to people briefed on the meeting. Mr. Solomon quickly canceled a planned trip to China.

For generations, power at Goldman has swung between bankers and traders. When Mr. Blankfein, a former trading chief, took over in 2006, that business was dominant. Since the financial crisis, though, it has faltered, sending Goldman into new businesses like consumer banking and low-fee index funds in search of growth.

Those changes were seen to favor Mr. Solomon. He is known less as a superstar deal maker than a strong manager, able to prune dead weight, motivate strivers and marshal Goldman's resources behind big initiatives.

""David is a pied piper, and I mean that in the best way,"" said Chris Nassetta, CEO of Hilton Hotels Corp., who worked with Mr. Solomon at Bear Stearns. ""People want to follow him.""

Mr. Solomon came to Wall Street in the mid-1980s, selling commercial paper at Drexel Burnham Lambert. Off duty, he played social planner to a group of college friends, organizing casino outings in Atlantic City and summer rentals in the Hamptons, where roommates would wake up to find him mowing the lawn.

After a stint at Bear Stearns, Mr. Solomon joined Goldman as a rare outside partner in 1999 and set out to build a junk-debt business. In 2006 he assumed responsibility for Goldman's investment bankers, who advise companies on mergers and fundraisings.

Mr. Solomon is credited with professionalizing that division, which he ran for a decade. He had a policy of giving zero bonuses to the bottom 5% of employees, executives said. But he also spearheaded Goldman's efforts to lighten the workload for junior bankers, and took a leading role in the firm's effort to recruit and promote women. He built a debt capital-markets business that reported record revenues last year.

Mr. Schwartz, meanwhile, embodied Goldman's profitable past, having scaled the ranks of its trading division. As finance chief from 2013 to 2016, Mr. Schwartz navigated the political and market forces that reshaped banking after the crisis, and was a strong hand in the areas of risk management and regulation.

He graduated from high school in New Jersey and didn't bother applying to college, instead joining a local gym as an athletic trainer. He eventually attended Rutgers University, working as nightclub bouncer and other odd jobs to pay his way, and joined Citigroup Inc. as an operations temp in 1989.

He came to Goldman's commodities trading arm in 1997 as a derivatives salesman, helping energy and mining companies protect themselves from price swings.

By 2008, Mr. Schwartz was running the trading division. As the financial crisis unfolded, he kept the firm on the offensive while competitors pulled back. The gambit worked: Goldman's traders made $33 billion in 2009, the most profitable year on record for a Wall Street broker-dealer.

Mr. Schwartz was named CFO four years later, a move so unexpected that senior executives including the firm's heads of risk and accounting threatened to quit, according to a person familiar with the matter.

But Mr. Schwartz won over critics by overseeing an operation that avoided surprises that plagued other banks. His 18-quarter tenure as CFO is captured in pen on a pair of lime-green boxing gloves that he keeps in his office, a gift from Goldman's finance team: ""18-0, all by KO.""

As co-president, he helped shepherd the firm's consumer-lending initiative, Marcus, to its 2016 launch.

""It's been an incredible 21 years,"" he said in his final management committee meeting Monday, according to attendees. ""I've gotten more out of the firm than I put in. It's been an honor."""
Ctit Group,AmEx Needs More Fresh Thinking From Its New CEO," Mar 10, 2018",1,"American Express has a new leader, but its strategy and message haven't changed much. That may not cut it in a highly competitive and rapidly changing payments landscape.

New Chief Executive Stephen Squeri stuck to some familiar themes in his presentation during the company's annual investor day on Wednesday. He stressed the importance of the company's integrated, ""end-to-end"" business model, which includes customer cards, a global payments network and merchant services. He also touted the brand's reputation for security and customer service.

Over the course of the day, AmEx largely reiterated existing financial targets for 2018. It did, however, downgrade the amount it expects to earn in merchant fees per transaction.

On the consumer side, AmEx appears to have weathered a competitive assault from big bank rivals like JPMorgan Chase and Citigroup surprisingly well. The relaunch of its flagship Platinum card last year was well-received. The company says it finished 2017 with a record number of Platinum customers who had also spent record amounts. It also renewed co-brand partnerships with Hilton Worldwide Holdings and Marriott International.

There remain reasons for concern, though. AmEx's rewards costs have been rising, but they remain low even compared with lower-end competitors. According to Credit Suisse Group, AmEx's rewards cost per dollar spent on its cards came to just 0.81% in 2017, compared with 1.1% for Capital One Financial and 1.24% for Discover Financial Services. This suggests pressure to keep enhancing rewards.

The company says its strong brand and the ""experiential value"" of its cards outweigh ""commoditized"" rewards like cash back and points. But, over the long run, money tends to talk loudest.

Second, the costs of the company's drive to expand lending to cardholders are coming into clearer view. Total provisions for credit losses rose 36% in 2017, and the company said it expects similar growth this year. Credit Suisse analyst Moshe Orenbuch notes this would put provision expenses at nearly half of pretax income this year, compared with just 25% in 2016.

The company stresses that the U.S. consumer business accounts for less than a third of its total business. But the competitive pressures in the U.S. consumer market aren't going away soon.

Leaning on its traditionally strong brand reputation isn't enough."
Ctit Group,Snap Can't Snip Its Way To Success," Mar 9, 2018",0,"Snap is a bit too young to be worried about dieting.

The parent company of Snapchat is planning to trim about 10% of the engineers in its employ, The Wall Street Journal reported Wednesday. An internal memo from the company obtained by the news site Cheddar put the total number of layoffs at 120.

Snap reported 3,069 full-time employees at the end of 2017, which was a gain of 65% from the previous year. But its pace of expansion slowed remarkably late in the year.

Minding the expense line typically isn't a bad idea for a company that, even with several favorable adjustments, lost more than $720 million last year. But investors aren't expecting Snap to cut its way into profitability.

Snap's fourth-quarter results last month were a good sign for the long term as user growth accelerated following a prolonged slowdown.

But the company also has shed nearly $3.7 billion in market value since those results after a recent redesign of Snapchat proved controversial.

Mark May of Citigroup cited a ""significant jump in negative app reviews"" when he downgraded the stock to a ""sell"" rating on Feb. 20. Snap shares lost 6% two days later after Kylie Jenner, one of the famed Kardashian clan, tweeted a criticism of the new design.

One celebrity, of course, isn't going to make or break the service. But the fact that Snap is still vulnerable to such whims indicates that those still employed by the company have a big job ahead."
Ctit Group,Blue Chips Fall as Cohn Exit Adds to Trade Concerns," Mar 8, 2018",0,"The Dow Jones Industrial Average fell after economic adviser Gary Cohn's resignation from the White House led to renewed concerns over a possible trade war and its impact on global growth.

Some investors saw Mr. Cohn's resignation as a sign that President Donald Trump was pushing forward with the steel and aluminum tariffs he promised last week and were worried that protectionist trade policies could spread. Mr. Trump will sign a proclamation to enact the tariffs this week, with ""potential carve-outs"" for Mexico, Canada and possibly other countries, press secretary Sarah Huckabee Sanders said Wednesday.

Global trade disruptions could lead to ripple effects for a wide range of commodities and products, some investors fear, resulting in higher costs for companies and consumers and slower economic growth. The concerns about trade come after worries about higher interest rates sent the blue chips in February to their worst month in two years.

""We do think the aggregate risk to this more placid narrative has really gone up in recent months,"" said Eric Freedman, chief investment officer for U.S. Bank Wealth Management. ""Things like trade policy changes and the potential for a trade war -- those are real issues that may alter the timeline of economic growth and stability.""

The Dow industrials closed down 82.76 points, or 0.3%, at 24801.36, after earlier shedding as much as 349 points. The S&P 500 edged down 1.32 points, or less than 0.1%, to 2726.80, while the Nasdaq Composite added 24.64 points, or 0.3%, to 7396.65.

Stocks rose to start the week after prominent members of the Republican Party pushed back against the tariffs, fueling bets that a widespread trade war was unlikely.

A number of companies and other countries have also voiced concerns about the tariffs in recent days, with full details yet to be announced and uncertainty surrounding negotiations over the North American Free Trade Agreement. The European Union on Wednesday urged Mr. Trump to rethink his planned tariffs, threatening to strike back unless he reverses course.

""You will have a disruption in growth if you get to the point where everybody is saying, 'We have no other option but to hit back,'"" said Dec Mullarkey, a managing director on the investment research team at Sun Life Investment Management.

Industrial firms that would be hurt most by higher commodities costs were among Wednesday's worst performers. Heavy-machinery maker Caterpillar fell $2.24, or 1.5%, to $151.51, weighing on the Dow.

Some U.S. bank stocks also fell as markets fretted over Mr. Cohn's departure and its implications for trade, the economy and regulation. JPMorgan Chase fell 43 cents, or 0.4%, to 114.73, while Citigroup slipped 14 cents, or 0.2%, to 73.92.

Oil prices fell 2.3%, leading to declines in the energy sector after government data showed crude stockpiles rose and U.S. production reached new heights last week. Those losses helped offset gains in the technology, health-care and real-estate sectors.

Some investors said they expect the market to recover and the global economy to remain strong, as long as an all-out trade war is avoided.

""In general, it should be a good period [for markets], but it's probably going to ping pong between these bouts of low volatility and great asset performance and short, sharp corrections that push people back on their heels when something crops up on the trade front"" or elsewhere, said Robert Tipp, chief investment strategist at PGIM Fixed Income.

Asian stocks were higher early Thursday. At midday in Tokyo, Japan's Nikkei was up 0.75% and Hong Kong's Hang Seng Index was up 1.3%."
Ctit Group,Banking &amp;amp; Finance: BNY's New Chief Pushes Overhaul," Mar 8, 2018",0,"As Charles Scharf settled into his first weekly sales meeting at Bank of New York Mellon Corp. last summer, the newly named chief executive thought there were far too many of his colleagues there.

Within weeks, the meetings were revamped; fewer employees were invited and those that did were expected to participate. ""It's true of everything,"" Mr. Scharf told The Wall Street Journal. ""Meetings should have as few people as possible, but all the right people.""

It is a familiar tenet to those who worked alongside Mr. Scharf at Citigroup Inc. and later JPMorgan Chase & Co., where he served for years as a top lieutenant to CEO James Dimon. Both Mr. Dimon and Citigroup's Sandy Weill leaned on a small cadre of deputies to overhaul businesses, with people that could often ""finish each other's sentences"" in rooting out bureaucracy, one former colleague said.

Mr. Scharf, who joined BNY Mellon in July, is turning to pages of the same playbook as part of a broader overhaul. He already has laid off staff, consolidated office space and overhauled executive pay. His challenge is to kick-start the bank that has been mired by slow growth and price wars that have weighed on profit.

BNY Mellon completes some of Wall Street's most vital, if boring, tasks: connecting many of the world's sellers to buyers, tracking the value of securities and safeguarding trillions of dollars in assets. Yet many of those businesses still rely heavily on legions of operations employees.

Alexander Hamilton, who founded the Bank of New York more than two centuries ago, ""left for the duel and told the bank not to change anything until he got back, and they haven't,"" one former competitor said, recounting an old joke about the custody bank.

At an investor meeting Thursday, Mr. Scharf will outline his plans for change, and details on additional cost cuts are likely.

Of BNY Mellon's 53,000 employees, some 20,000 work in operations. As the bank moves to automate processes, in time ""that number should be a fraction of what it is,"" Mr. Scharf said.

BNY Mellon aims to ride one of the biggest changes to affect the financial world in decades: the digitization of nearly every step that money takes as it flows through the global economy.

Mr. Scharf is spending heavily in technology in an effort to better harness the reams of data produced by the assets they oversee. In January, he told investors that he would plow all of this year's benefits from the new U.S. tax rules, some $250 million, into investments in technology and employees.

And then there is the dress code. It is common for Mr. Scharf to arrive at work wearing black jeans.

Mr. Scharf is eager to pick up the pace. He also has been careful not to move too quickly, sounding out some of his new colleagues on how to avoid alienating employees, people familiar with the matter said.

""Every organization can move at a different speed,"" Mr. Scharf said."
Ctit Group,Big Bank Custody Fight," Mar 8, 2018",1,"The Senate is debating a bill that would relax Dodd-Frank's chokehold on small banks, but a couple of provisions that ease capital and liquidity standards for the giants will make the financial system more vulnerable in a panic.

Tucked into Banking Chairman Mike Crapo's legislation is a directive to federal agencies to amend the ""supplementary leverage ratio"" for custodial banks by excluding deposits at a central bank. Custodial banks secure assets for clients such as large institutional investors and fund managers.

At first glance, this provision would appear to apply only to Boston-based State Street, Chicago's Northern Trust and Bank of New York Mellon. But Citigroup and J.P. Morgan also offer custodial services and are trying to join the party. You can bet others will want in too. ""As Congress has sought to make a common sense change to the way capital rules treat custody assets, we have asked that they apply that change to all custody banks to maintain a level playing field in this important business,"" a Citi spokesman said last week.

As we saw during the crisis, financial regulators are poor judges of risk. Banks had piled into investments that regulators deemed low risk such as mortgage-backed securities and sovereign debt that let them meet capital standards even while remaining highly leveraged. You know how that worked out.

So the Federal Reserve and other regulators in 2014 adopted a simple, non-risk weighted measure of equity to total assets called the supplemental leverage ratio -- 5% for global giants. Banks get no more credit for investing in Treasurys than in corporate debt. This leverage limit prevents banks from gaming capital rules and herding into putatively ""low-risk"" assets, which overall reduces systemic risk.

The big guys gripe that the Fed's capital standards are excessive. But if banks want to lend more, they can build equity. Last year Citi and J.P. Morgan each announced plans to return some $19 billion to shareholders. Big banks were undercapitalized prior to the panic and experienced losses on average equal to 6% of assets. Most have built up about that much now, though State Street, Bank of New York Mellon, Goldman Sachs and Morgan Stanley have less.

An exemption for central bank deposits would improve the leverage ratio on paper for many big banks to between 7% and 8%. So custody banks could stash their customer funds at the Fed or another central bank where they'd earn modest interest. The risk is that they will then use this dispensation to increase debt or reduce capital.

The Congressional Budget Office estimates a ""50 percent chance"" that regulators would extend the regulatory exemption to J.P. Morgan and Citi, which is probably low. Fed Chairman Jerome Powell said last week at a Congressional hearing that ""the leverage ratio can deter banks"" from ""engaging in low-risk wholesale activities, particularly the custody banks,"" adding that ""I think we got the calibration a little bit wrong so our plan is to roll it back."" His preference would be to do so for all big banks.

The economy could use more risk-taking, and some small businesses have had trouble getting credit under the new Dodd-Frank regime. But the Senate bill would remedy this problem by reducing administrative burdens on regional and community banks where regulatory compliance has gratuitously diverted resources from customer services. Regional and community banks have on average a leverage ratio of 8.7%.

If central bank deposits are exempted from the leverage ratio, why not Treasurys or municipal debt? Speaking of which, big banks are also pleading for more latitude under the Fed's liquidity rules. The Senate bill obliges by directing the Fed to classify investment-grade municipal debt as ""high quality liquid assets.""

Banks love muni debt because of its tax exemption and supposed security, though bankruptcies in Puerto Rico, Detroit and Stockton, Calif., betrayed this conceit. Muni bonds are not actively traded in the secondary market, and prices are opaque. The 1975 Tower amendment also exempts municipal securities from mandatory investor disclosures.

Government finances can quickly deteriorate. Recall the Orange County bankruptcy in 1994 that resulted from bad bond bets amid rising interest rates. During a market meltdown, banks would find it hard to unload munis. One lesson from the last crisis was that even supposedly liquid, high-grade assets can become illiquid when investors panic, markets lock up and prices fall.

The Senate bill would encourage banks to pile into munis and make it cheaper for states and cities to borrow -- thus encouraging more government leverage. Governments and financial investors are often co-dependent, but Senators ought to resist enabling both."
