bank,Title,entryDate,PX_LAST,Label,Articles
Wells Fargo,Wells Fargo Withholds Top-Level Bonuses," Mar 2, 2017",30.125,1,"Wells Fargo & Co.'s board stripped eight top executives of 2016 cash bonuses and clawed back certain stock awards in response to the bank's sales-practices scandal.The San Francisco-based lender said Wednesday that the compensation cuts for current executives don't reflect the culpability of individuals but are meant to show their accountability for the bank's overall performance and reputational risk as a result of the scandal.Eight of Wells Fargo's executives, including current Chief Executive Officer Timothy Sloan and financial chief John Shrewsberry, are affected by the moves, resulting in a loss of total compensation of about $32 million.Mr. Sloan didn't become chief executive until October when former CEO John Stumpf abruptly retired following congressional grillings and a public uproar over the sales-practices scandal that also cost the bank a $185 million settlement.Before this, Mr. Sloan was the bank's president and chief operating officer.In addition to the bonus cut, the company also said it would claw back up to 50% of the compensation the executives would have received from certain shares granted in 2014.The shares, which were tied to the company's performance, are part of executives' long-term equity incentives.In 2015, Mr. Sloan received performance share awards valued at $6.5 million, according to the bank's most recent proxy statement.Wells Fargo's board in late September rescinded a total of about $60 million in pay from Mr. Stumpf and then-retail-bank head Carrie Tolstedt.Wells Fargo also said Wednesday in its annual securities filing that more customers may have been affected by the scandal than it initially disclosed. In its September settlement, the bank, regulators and a city official said up to 2.1 million accounts were opened using fictitious or unauthorized customer information.The bank didn't give further detail on how much higher that number could be. It added in the filing that this is unlikely to significantly affect customer refund costs.The board's investigation into the scandal is continuing, and the bank reiterated it is expected to be completed before its annual shareholder meeting expected in late April.While it is unusual for banks to withhold bonuses from top executives -- incentive compensation makes up the bulk of their pay -- it has become more common in recent years."
Wells Fargo,Banks' Brighter View Drives Stocks," Mar 2, 2017",30.55,0,"Bank stocks reached their highest point in nearly 10 years on Wednesday, building on postelection gains that reflect hopes firms will soon shake free the shackles of stringent regulation, superlow interest rates and sluggish economic growth.The KBW Nasdaq Bank index, a measure of 24 of the biggest U.S. bank stocks, rose more than 3% to touch its highest level since late 2007. The gain, which followed President Donald Trump's address to Congress on Tuesday night, brought its rise since Nov. 8 to about 32%. The index has outperformed the S&P 500 by around 20 percentage points during this time.Among big banks, Bank of America has led the charge higher. It is up 50% since the election; on Wednesday the stock gained 3.6%.Investors aren't the only ones who believe the outlook for banks has changed drastically -- and for the better. Bank executives themselves are now looking to reinvest in their businesses rather than just hoping to return more capital to shareholders. That is a big change from recent years when executives were mostly in a defensive crouch.""We have the capacity to increase our balance sheet if the opportunity presents itself,"" Morgan Stanley finance chief Jonathan Pruzan told analysts earlier this year after the firm's fourth-quarter earnings report. ""That's certainly an opportunity that we haven't seen in the past.""Granted, banks' financial results haven't yet shown actual gains. Among the six biggest U.S. banks, for example, only J.P. Morgan Chase & Co. and Wells Fargo & Co. posted returns on equity for 2016 that exceeded the 10% level that investors generally consider to be a bank's cost of capital.Lighter regulation that allows banks to hold less capital could help to bolster those returns, though. And analysts are already forecasting increased profitability.Analysts' earnings-per-share expectations for 2018 for the six big banks have increased, on average, by about 11% from the end of October to the end of February.Reflecting this optimism, J.P. Morgan executives on Tuesday struck a bullish tone at the bank's annual investor day. And while the bank continues to focus on returning capital, Chief Executive James Dimon noted growth is a priority. ""The most important thing we do, bar none, is investing in our own businesses and the opportunities are everywhere to do better services, better profit-creating processes and more vision,"" he said.J.P. Morgan also said its balance sheet, which stood at $2.49 trillion at the end of last year, is likely to rise to about $2.6 trillion by the end of 2017.At Morgan Stanley, the balance sheet has shrunk to about $800 billion today from more than $1 trillion in 2007. The biggest cuts at the firm have come in its trading and banking divisions, whose share of total assets has fallen more than 18 percentage points over the past decade.Granted, if Mr. Pruzan wants to start growing the balance sheet, he will have to have capital. But that is one thing Morgan Stanley has plenty of: Keefe, Bruyette & Woods analysts estimate the firm is holding 10% more capital than it needs to pass the Federal Reserve's annual ""stress test,"" the highest proportion of any big bank.Mr. Pruzan isn't alone. Retained earnings at the six largest U.S. banks have doubled over the past five years and now make up 62% of combined total shareholders' equity, up from 44% in 2010.""For a few years, the story on capital was 'when can you return it?' but that's because there was no business opportunity to put it to use,"" UBS Group AG analyst Brennan Hawken said.Pivoting to growth mode will pose a test for bank executives. Large-scale acquisitions are still unlikely at firms labeled ""systemically important."" But there are other ways to invest.Banks could dangle incentives to lure new customer deposits, greenlight riskier trades, make more loans or buy ""smart"" ATMs in branches.One tantalizing opportunity is on trading desks, which have been slowly starved of capital in recent years. The value of financial instruments held by Goldman Sachs Group Inc., for example, has fallen by one-third since 2012, even as asset prices have risen. Smaller portfolios make it harder for traders to meet client demand; day to day, it means they say ""no"" more often than they once did.Speaking on his bank's earnings call last month, Goldman's current finance chief, Harvey Schwartz, talked of the choices that will face his successor, R. Martin Chavez, who will take over as chief financial officer in April.""If he has the chance to deploy capital back to our clients, not to return as much to shareholders, grow risk-weighted assets, those are the environments that we thrive in,"" Mr. Schwartz said. ""Ultimately, that's our preferred way to deploy capital.""At Citigroup Inc., CEO Michael Corbat said in January the bank was looking to invest in its core businesses. He singled out upgrading ""tired"" branches in Mexico and increasing its deposits and trading from hedge funds, a business that can weigh heavily on a bank's balance sheet.""It's things that we need to do,"" he said. ""We think we've got the ability not just to maintain but to grow share and to grow profitability."""
Wells Fargo,Business News: Business Watch," Mar 7, 2017",31.87,1,"EDUCATION Trump to Delay Career-School Rules The Trump administration said Monday it would delay implementing new rules designed to punish career-training schools that leave students with high levels of debt but weak job prospects. The move delays new rules known as ""gainful employment"" that formed a key piece of former President Barack Obama's higher-education agenda. It could ultimately help for-profit colleges avoid sanctions if they prove the government data underpinning the rules is flawed. The Education Department said Monday it will give schools until July 1 to file appeals, pushing back an original deadline of Friday. The rules are designed to cut off access to federal money for career-training programs if multiple classes of their graduates spend at least 20% of their discretionary income, as defined by a formula, or 8% of their total earnings each year, paying off student debt. Josh Mitchell WEATHERFORD New CEO Comes From Halliburton Weatherford International PLC named Mark McCollum, a former executive with rival Halliburton Co., as its new chairman and chief executive.Mr. McCollum will take over one the largest companies in the energy industry in April. His predecessor, Bernard J. Duroc-Danner, left in November.Weatherford has grown into an oil-field services giant through a flurry of acquisitions, but the company has struggled to recover from a series of management missteps that were compounded by a two-year downturn in oil prices that decimated its business. Despite rebounding oil prices, the company is still hamstrung by its heavy debt load.Mr. McCollum was most recently the chief financial officer of Halliburton, another big player in the energy sector.WELLS FARGO Wells Fargo & Co. named a top lawyer Monday, ending a monthslong search for a new general counsel who must help the bank recover from its sales practices scandal. Allen Parker, the recent former head of white-shoe law firm Cravath Swaine & Moore LLP, is slated to begin his new role March 27, succeeding James Strother who the bank said will retire after 30 years at Wells Fargo. Mr. Parker, 62 and a Cravath partner, will be based out of the bank's headquarters in San Francisco and become a member of its operating committee."
Wells Fargo,Business &amp; Finance," Mar 10, 2017",31.98,1,"Global markets are again fixating on the price of oil after U.S. crude fell below $50 a barrel for the first time this year. Shell is selling nearly all of its Canadian oil-sands developments in deals worth $7.25 billion, another step in a bid to cut debt and streamline. AIG's chief quit at a board meeting where his future was being discussed, apparently having lost the faith of the insurer's directors. Household net worth in the U.S. climbed to a record $92.8 trillion in the fourth quarter, aided by the end-of-year surge in stocks. The S&P 500 was up 250% from its lowest crisis-era close eight years ago after edging up Thursday. The Dow rose 2.46 points. Insiders are buying stock at the slowest pace in at least 29 years, a sign of uncertainty about the bull market. The ECB hinted at the beginning of the end of its massive monetary stimulus, but stopped short of a significant move to rein it in. Akzo rejected a $22.1 billion offer from PPG and said it is exploring a sale of its specialty-chemicals unit. Wells Fargo has taken further steps to revamp its retail-banking business after a sales-practices scandal. BMW's earnings cooled slightly in 2016, as the auto maker saw its first U.S. sales decline in seven years."
Wells Fargo,Markets &amp; Finance: Wells Fargo Shakes Up Retail Unit," Mar 10, 2017",31.98,1,"Wells Fargo & Co. took further steps this week to restructure its retail-banking business, even as the firm continues digging into the causes of its sales-practices scandal, according to employees and memos reviewed by The Wall Street Journal. Some senior executives within the retail bank were demoted or had their responsibilities curtailed, according to one memo sent to employees Tuesday. This followed the firing in recent weeks of other executives as Wells Fargo continues to address the scandal that erupted last fall after it emerged that employees opened as many as 2.1 million accounts without customers' knowledge. Mary Mack, who took over the embattled retail-banking unit in July, wrote in a memo Tuesday that she was reorganizing groups within the business to expand its focus on roughly 6,000 branches across the U.S. The retail bank oversees about 78,000 employees and serves around 40 million retail-banking customers. Ms. Mack wrote in the memo, reviewed by the Journal, that while the bank has taken a number of steps to rebuild trust with customers and employees, there is still more work to do. That includes ""changes in leadership and how our organization is structured,"" she wrote. Wells Fargo sent a separate memo Tuesday to some employees alerting them that an independent consulting firm likely will contact several hundred employees about the sales-practices issues, according to the memo reviewed by the Journal. The consulting firm is reviewing the bank's controls around sales practices to try to determine the root cause of the issues. The bank is having this done as part of the regulatory consent orders it entered into in September. Meanwhile, the bank's board is continuing its own investigation into the scandal. It will share results before Wells Fargo's annual shareholder meeting April 25. In recent weeks, Ms. Mack has met with senior retail-banking executives and hinted at changes to the business that were detailed in Tuesday's memo, according to people who attended them. As part of these, two of the retail unit's top three employees, who were also lieutenants to former retail-bank head Carrie Tolstedt, had their roles diminished. Ms. Tolstedt retired in July; the bank's board subsequently clawed back some of her long-term compensation. Among the affected executives, Lisa Stevens will continue leading the retail bank's western region, which ranges from California to Iowa, but no longer will oversee small-business banking. She will continue to report to Ms. Mack. Before the scandal, many bank employees said they believed Ms. Stevens was in line to become head of retail banking. Chief Executive Timothy Sloan is one of her mentors, and executives said the two sometimes worked out together at employee events in Pasadena, Calif., near where they both live. John Sotoodeh, who took charge of the bank's troubled Los Angeles region in 2009, also was demoted. He now will oversee a region a fraction of the size of his prior role, which had included Texas, according to the memo. As a result, employees directly reporting to him will fall to an estimated 7,000 from 15,000 previously. Mr. Sotoodeh, who previously reported to Ms. Mack, now will report to Ms. Stevens. Mr. Sotoodeh was known within the bank for aggressively pushing sales, especially during Wells Fargo's ""Jump into January"" promotional event each year, and for promoting lofty goals that employees had to hit. Former employees have said that these goals prompted them to create fake accounts. Wells Fargo fired 5,300 employees over a five-year period for such behavior. Mr. Sotoodeh was also one of a group of top retail-bank executives who were warned about possible sales-practices issues as early as 2012. Former head of deposit products Ken Zimmerman, who reported to Ms. Tolstedt, wrote an email in June of that year to a number of retail-banking executives, including Mr. Sotoodeh, Ms. Stevens, Shelley Freeman and Claudia Russ Anderson. The latter two were fired by the bank a few weeks ago. The email cautioned about customers getting multiple checking accounts on the same day, an issue Wells Fargo had been looking into. ""This is something to keep an eye on,"" wrote Mr. Zimmerman, who took a leave of absence in early 2016 and left the company in July, according to a copy of the email reviewed by the Journal. ""The regional variation suggests bankers are likely driving some of this behavior"" and Wells Fargo may risk a ""customer perception that their money isn't safe."" The current and former executives didn't respond to requests for comment. Besides changing the roles of Ms. Stevens and Mr. Sotoodeh, Ms. Mack plans to name three executives to oversee new groups: one focusing on small business and the affluent, another on customer and branch experience, and a third on business strategy and administration, according to her memo. Earlier this week, the Journal reported that the bank also fired three retail-banking managers who led large regions in California and Arizona, around one level below the four executives who were earlier fired."
Wells Fargo,Banking &amp; Finance: Merrill Fiduciary Shift Affects Few Customers," Mar 13, 2017",32.17,1,"Merrill Lynch's plan to potentially ease off its pledge to completely do away with commission-based retirement accounts may not provide relief to retirement clients who want to keep using Wall Street's traditional sales model. The Bank of America Corp.-owned unit told brokers that it is considering alternatives for clients in ""limited situations"" where individual retirement accounts that charge a fee based on a percentage of assets wouldn't be in their best interest, according to a memo from Merrill head Andy Sieg and viewed by The Wall Street Journal. Situations where fees charged to a retirement saver wouldn't be appropriate include accounts that have private-equity stakes or concentrated stock positions that aren't traded frequently, which would tend to include more sophisticated investors, people with knowledge of the situation said. The bulk of Merrill's retirement-paying commission savers are still expected to be steered toward fee-based accounts or Bank of America's online brokerage platform, Merrill Edge, people familiar said. The creation of an alternative product hinges on whether the Labor Department decides to delay its landmark retirement regulation, the people said. The fiduciary rule is set to take effect next month, but the Labor Department recently proposed pushing that date back to June 9 as it weighs whether to revise it. Merrill executives haven't made a final determination as to how clients would pay for the alternative product and what investments would be allowed to be bought and sold in it, the people added. Such a product would likely carry heavy restrictions on what could be bought and sold similar to those already imposed on commission-based IRAs. The restrictions on commission-based IRAs, which are meant to eliminate conflicts, include sales of mutual funds, nontraded real-estate investment trusts and life insurance products. The people familiar added that there is no guarantee an alternative product will be created. Merrill in October said it would no longer accept commissions in IRAs once the fiduciary rule, which requires brokers to put the interests of retirement savers ahead of their own, began to take effect. Merrill's decision to reconsider those plans is based on concerns voiced by its clients as well as some of its more than 14,500 brokers, the people said, stressing that those situations where fee-based arrangements wouldn't be considered appropriate would be limited. Merrill's biggest rivals didn't follow suit with the end of commission-based IRAs, with both Morgan Stanley and Wells Fargo & Co. saying they would use an exemption in the rule that permits brokerages to offer commission-based accounts to retirement savers. Michael Wong, an analyst at research firm Morningstar Inc. who focuses on the brokerage industry, said it makes sense Merrill is reconsidering its stance while the fiduciary rule is in limbo. The brokerage may have realized that certain situations, such as investors with concentrated stock positions, would have been hard to make a case for a transition from commissions to fees. ""If you can't justify the movement from a commission-based account to a fee-based account, that's a problem,"" Mr. Wong said."
Wells Fargo,Finance Watch," Mar 16, 2017",32.1,1,"WELLS FARGO CEO Pay Package Totals $12.83 Million Wells Fargo & Co. awarded Chief Executive Timothy Sloan $12.83 million in compensation for 2016 after he took over the bank this past fall following its sales practices scandal. Mr. Sloan received $2.33 million in base pay, with a bonus that included shares valued at $10.5 million. He, along with seven other executives, didn't receive a cash bonus this year compared to $1 million Mr. Sloan received for 2015 and the $4 million that his predecessor John Stumpf received in cash bonus that year. The lack of a cash bonus along with an up to 50% reduction in certain stock awards for 2016 were meant to reflect the $185 million fine the bank paid last fall for opening as many as 2.1 million accounts using fictitious or unauthorized customer information. Buyer Cuts Bid for Swiss Bank BSI The buyer of a Swiss bank caught up in corruption probes tied to Malaysia's state investment fund is seeking to cut the purchase price by about a quarter after the bank had nearly $5 billion in withdrawals in two months. BSI had 4.9 billion Swiss francs ($4.9 billion) in net asset outflows in the last two months of 2016, according to EFG International AG, the Zurich-based bank that announced its purchase of BSI last November. EFG International, which is buying BSI from Brazilian bank BTG Pactual SA, said it is seeking to pay 277.5 million francs less for BSI than the 1.06 billion franc purchase price disclosed in November. EFG had originally announced plans early last year to pay roughly 1.33 billion francs for BSI, when alleged ties between BSI employees and the corruption scandal at 1Malaysia Development Bhd., known as 1MDB, weren't clear. BTG said it ""refutes"" EFG's revised purchase price. REGULATION Spain Orders Banks To Join Operations A Spanish government-run fund told two state-owned Spanish banks to merge, an example of how countries such as Spain that bailed out failing lenders are still struggling to return those banks to private hands. Spain's bank-bailout fund, known as the Frob, on Wednesday instructed lenders Bankia SA and Banco Mare Nostrum SA to begin a merger process, after studies commissioned by the Frob revealed that a fusion would allow the Spanish state to recover the greatest amount of taxpayer funds. The Frob said the studies show that the Spanish state would bring in 401 million euros ($425.3 million) more through a merger of Bankia and BMN and subsequent stake sales than if the lenders were sold individually. As part of the studies, investment bank Societe Generale sounded out potential buyers for BMN and, according to the regulatory filing from the Frob, received only one expression of interest."
Wells Fargo,Overdraft Charges Highest Since 2009," Mar 17, 2017",32.14,1,"Banks and other financial firms in 2016 generated the highest level of fees in seven years related to overdrafts on checking accounts, marking a turnaround for a charge that crisis-era regulation tried to rein in. Overdraft fees totaled $33.3 billion in 2016, up about 2.5% from 2015 and 5.4% from 2011, according to Moebs Services Inc., an economic-research firm. Overdrafts occur when consumers make transactions that are larger than their checking-account balance. Most banks will cover the shortfall, no matter how little in savings or assets the consumer has, in exchange for what is usually a hefty fee. The 2016 fees were the highest since 2009, the year before the Federal Reserve implemented a rule that stopped banks from automatically charging consumers overdraft fees on debit-card and automated-teller-machine transactions. Instead, the rule required banks to get permission from consumers before charging a fee for such transactions. Such fees can run as high as $45 a transaction, according to Moebs Services, though the median fee across banks and other financial institutions is $30. Banks opposed the rule, warning that overdraft-fee revenue would tumble since a smaller pool of consumers would face such charges. But after initially dropping, overdraft-fee revenue remained steady at just shy of $32 billion, before starting to pick up around mid-2015, according to Moebs data, and then the 2016 growth rate was the largest annual increase since 2009. Analysts said the revenue growth isn't unusual given that the overdraft rules have been in place for some time. It ""is likely tied to new-account growth the industry is experiencing,"" said Matthew Keating, senior equity research analyst at Barclays who covers midsize banks. Some consumer advocates, though, have criticized new bank strategies to get consumers to enroll in overdraft services. Those, they say, include wrongly presenting the service as mandatory for new customers or emphasizing scenarios in which the feature could help people who are tight on cash. A survey by the Pew Charitable Trusts, a proponent of overdraft regulation, found some 52% of consumers who have paid a debit-card overdraft fee don't recall opting in to this service. Banks ""have continuous exams with regulators, and any hint of wrongdoing is something that would be picked on very quickly,"" said David Pommerehn, associate general counsel and vice president at the Consumer Bankers Association. He added that limited availability of credit for subprime borrowers has contributed to the rise in overdraft-fee revenue. Consumers with low credit scores and little to no savings are using overdraft services as a short-term financing option. Overdraft-related fee revenue at the 10 largest U.S. retail banks by assets that report these data totaled about $7.5 billion in 2016, up 4% from a year before, according to S&P Global Market Intelligence. Both S&P Global and Moebs data also include additional fees such as when consumers bounce checks or arrange for bill payments larger than their checking-account balance. Those transactions aren't part of the Fed's opt-in requirement, which means that checking-account users can incur them without signing up for any specific service. The increase in these figures suggests these types of transactions might be up as well. One implication of the rising revenue is that consumers may be growing more comfortable spending more than they have, even if it comes at a cost. There were nearly 1.12 billion overdraft transactions in 2016, up from nearly 1.09 billion a year earlier and 1.07 billion in 2014, according to Moebs. Another possibility is that banks are getting many new and existing customers to opt-in to overdraft services, having stepped up campaigns in branches and online promoting the feature. More enrollment generally corresponds to a larger number of overdraft transactions, said Michael Moebs, economist and chief executive at Moebs Services. Some banks' growth rate was much higher than the industry average. Wells Fargo & Co., for example, posted a 9% increase to reach $1.78 billion in overdraft-related revenue in 2016. A bank spokeswoman said this was partly due to customer growth and increased transaction activity. Several large banks, including J.P. Morgan Chase & Co., Bank of America Corp. and U.S. Bancorp, said year-over-year revenue increases ranging from around 1.5% to 3% resulted from account growth as more people signed up for checking accounts. Overdraft revenue is also up at credit unions. It reached a record of $6.2 billion last year, according to Moebs Services. How to Avoid Overdraft Fees Consumers are incurring more fees for spending money they don't have in their checking accounts, but there are steps they can take to avoid these charges. Overdraft fee revenue hit a seven-year high in 2016 due in part to customers' financial missteps or their decisions to bounce checks or use debit cards to pay for purchases exceeding checking-account balances. Many overdraft fees can be avoided. The Federal Reserve implemented a rule that went into effect in 2010 requiring banks and other financial institutions to get consumers' permission before they start charging overdraft fees for debit-card and automated-teller-machine transactions. As a result, banks, credit unions and other institutions typically ask consumers signing up for new checking accounts if they want to opt in to debit-card overdraft protection. Some banks present it as a way to get extra cash in an emergency. Consumers should keep in mind that by signing up for this service, they are enabling debit-card transactions to go through that can bring their account balance below zero, even when the expense isn't absolutely necessary. The median fee for this service is $30, according to economic-research firm Moebs Services. That is a major reason why consumer advocates, including the National Consumer Law Center, urge consumers to just say no to opting in. Signing up for the overdraft service doesn't keep you locked in forever. Consumers who don't want to continue should tell their bank they want out -- a request financial institutions must honor. There are other ways to incur overdraft-related fees, however, even without opting in. For instance, customers in most cases must pay the fees if their checks bounce or if they arrange for bill payments that exceed their account balance. Account holders can take several steps to avoid overdrawing, including checking their balance at least once a day. Many banks can send consumers alerts via text message or email when their balance is running low. Banks also offer several alternatives to overdrafts. One option is linking their savings account to their checking account and transferring funds to the checking account when needed. Depending on the bank, this service may be free or cost around $10 to $13 per transfer."
Wells Fargo,Markets &amp; Finance: Account Openings Decline at Wells," Mar 21, 2017",32.36,0,"Wells Fargo & Co. said Monday that its customer checking-account and credit-card openings fell drastically in February versus a year earlier, a continuing trend for the bank following last year's sales-practices scandal. The San Francisco-based bank said checking-account openings fell 43% year over year to about 300,000, while new credit-card applications fell 55% from a year earlier to about 200,000. The bank did continue to make progress in average consumer and small-business deposit balances, which rose 6% year over year to $761.4 billion. Credit-card purchase volume also increased. Customer-loyalty scores rose for the fourth consecutive month, to 57.6% but are still down from 62.1% a year earlier. Wells Fargo has been reporting monthly customer metrics since its scandal erupted in September. The bank's chief executive, Timothy Sloan, said it is part of its ""ongoing commitment to transparency."" The bank will provide its next update in April. Mary Mack, head of retail banking, added that it will take ""time for us to work through the changes we are making in our business."" Ms. Mack confirmed on a call with analysts Monday that the bank recently reorganized its retail-banking group, which The Wall Street Journal reported earlier this month. She added that the bank will begin a new marketing campaign next month that highlights its offerings, following Wells Fargo's push to resume marketing in January. Chief Financial Officer John Shrewsberry responded to a question about the board's independent investigation of Wells Fargo, saying that he expects it will publish its findings in early to mid-April so that shareholders have time to review them before the bank's annual shareholder meeting April 25."
Wells Fargo,Affordable Housing Faces a Tax Threat," Mar 22, 2017",32.84,1,"The possibility of a U.S. tax-code overhaul is casting a shadow over the $10 billion affordable-housing industry, which receives tax credits so valuable they often determine whether or not projects get off the ground. Members of Congress and President Donald Trump have proposed reducing the corporate tax rate to 15% to 20% from the current 35%, dimming the allure of a credit investors such as big banks and insurance companies receive to offset income taxes. Affordable housing, which represents about one-quarter of all new apartment construction in the U.S., relies on the credit for capital. Developers said investors are valuing the credit 10% to 20% lower since Election Day. In some cases, investors have walked away, opening up funding gaps in projects already in motion. Because developers already walk a financial tightrope to build low-income housing, some projects are simply failing. Tax-credit values have collapsed, said Stuart Boesky, chief executive of Pembrook Capital Management LLC, a lender specializing in affordable housing. ""Some of the deals are just dying. Some of the deals are scrambling around looking for gap grants from state and local housing agencies."" The reduction in the credit's value already is likely to lead to $1 billion to $1.5 billion less equity investment in affordable housing this year, according to Novogradac & Co. LLP, an accounting firm. The tax-credit program was signed into law by President Ronald Reagan in 1986, during the last major tax-code overhaul, to encourage more private investment in affordable housing and to move away from the traditional public-housing model. The program requires that developers set aside a certain portion of units for families making below the local-area median income and restricts the rents that they pay. In reality, most projects end up being almost entirely leased by low-income families. The value of the tax credit is two-pronged. The housing-credit program allows investors to take tax credits dollar for dollar against their federal taxes in exchange for providing funds to build affordable housing. The program offers additional value to investors because they can deduct the depreciation of the property and interest expenses. These deductions are most affected by the proposed changes. Investors are pulling back even though the timing of any tax overhaul is uncertain. Wells Fargo & Co., one of the country's largest investors in low-income housing, purchased $2.23 billion of credits in 2016. Bank executives expect that number to fall this year. Still, the tax credit has bipartisan support in Congress and is likely to survive a push to eliminate most deductions. Sen. Maria Cantwell, a Democrat from Washington, is proposing legislation that would expand the credit by 50%, helping to offset the loss in value. The bill is co-sponsored by Sen. Orrin Hatch, a Republican from Utah."
