company,date,Last,final_sentiment,sentiment_words
HSBC,2018-03-01,53.593333333333334,2.0,0.3333333333333333
HSBC,2018-03-02,47.61,2.0,0.0
HSBC,2018-03-05,49.16,2.0,0.6
HSBC,2018-03-06,49.3525,2.0,0.6666666666666666
HSBC,2018-03-07,50.714285714285715,2.0,0.5714285714285714
HSBC,2018-03-08,52.02,2.0,0.0
HSBC,2018-03-09,49.42333333333334,2.0,0.3333333333333333
HSBC,2018-03-13,51.214,2.0,0.9
HSBC,2018-03-15,51.53,1.5,1.0
bank of america,2018-02-20,32.13999999999999,1.6666666666666667,0.6666666666666666
bank of america,2018-02-23,31.95,1.5,0.5
bank of america,2018-02-27,32.53,1.75,0.25
bank of america,2018-03-01,32.120000000000005,2.0,0.0
bank of america,2018-03-06,31.445833333333336,1.8333333333333333,0.6666666666666666
bank of america,2018-03-09,31.096666666666675,1.5,0.6666666666666666
bank of america,2018-03-12,31.736666666666668,1.6666666666666667,1.0
bank of america,2018-03-13,32.068,1.8,0.6
bank of america,2018-03-14,30.903333333333336,1.6666666666666667,0.3333333333333333
bank of america,2018-03-15,32.225,2.0,1.0
chase,2018-02-21,113.375,2.0,0.5
chase,2018-02-22,118.77,1.0,0.0
chase,2018-02-26,115.095,2.0,0.0
chase,2018-02-28,116.43,2.0,0.5
chase,2018-03-02,114.945,2.0,0.0
chase,2018-03-05,114.26,2.0,0.5
chase,2018-03-06,113.31666666666666,1.3333333333333333,0.3333333333333333
chase,2018-03-07,116.6725,2.0,0.5
chase,2018-03-08,113.58500000000001,2.0,1.0
chase,2018-03-12,110.6325,1.75,0.5
chase,2018-03-13,115.07333333333334,1.3333333333333333,1.0
chase,2018-03-15,113.19500000000001,1.5,0.6666666666666666
citigroup,2018-02-22,76.71,2.0,1.0
citigroup,2018-02-27,74.97,2.0,1.0
citigroup,2018-02-28,73.68,2.0,1.0
citigroup,2018-03-01,72.7,2.0,1.0
citigroup,2018-03-02,79.2,1.0,0.0
citigroup,2018-03-05,76.63999999999999,1.5,1.0
citigroup,2018-03-06,72.4672,1.75,0.25
citigroup,2018-03-07,77.08,2.0,1.0
citigroup,2018-03-08,77.0,2.0,1.0
citigroup,2018-03-09,73.9525,1.625,0.625
citigroup,2018-03-12,74.05333333333334,2.0,0.3333333333333333
citigroup,2018-03-13,76.675,1.5,0.5
citigroup,2018-03-14,75.14285714285714,1.4285714285714286,0.7142857142857143
citigroup,2018-03-15,74.57499999999999,2.0,1.0
wells fargo,2018-03-06,59.46111111111111,1.6666666666666667,0.4444444444444444
wells fargo,2018-03-07,57.54,2.0,0.75
wells fargo,2018-03-08,64.78999999999999,2.0,0.0
wells fargo,2018-03-13,52.08,2.0,0.0
wells fargo,2018-03-14,56.08699999999999,1.6,0.8
wells fargo,2018-03-15,56.835,2.0,0.6666666666666666
