Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,company,Article,lable
6-Mar-18,30.69,30.82,30.08,30.125,25633335,bank of america,"Here's one bank bigwig who seems to be feeling the heat.
On Thursday, Wells Fargo Chief Executive Tim Sloan blasted months-old comments from Sen. Elizabeth Warren (DMass.)
and defended a 35 percent pay raise for his work in 2017 - even as major investors are weighing whether to
block his compensation.
Sloan, whose bank underperformed all but one rival in 2017, defended a proposed $17.5 million pay package for his
work last year - when the bank was rocked by additional sales scandals and the Federal Reserve took an
unprecedented step to limit its growth.
Sloan also went out of his way to slam Warren, a frequent critic of Wall Street, for her comments five months ago
that he should resign.
""It's not surprising I disagree with almost everything Elizabeth Warren says,"" he told reporters in Detroit, according
to Reuters. ""Most of her comments are both ill-informed and inappropriate.""
New York state Comptroller Thomas P. DiNapoli is not a fan of the plan to give Sloan a raise.
""Given Wells Fargo's multiple scandals and governance failures, a pay cut would be more deserving than a raise,""
DiNapoli said in a statement.
Sloan's complaints come as shareholders of the embattled bank are considering blocking his compensation when
they vote next month at Wells' annual meeting.
New York City Comptroller Scott Stringer, who controls the city's pension, which owns more than $600 million in
Wells Fargo shares, is weighing a vote against Sloan's comp, a spokesman told The Post.
Last year's shareholder meeting was an extended circus of angry shareholders who demanded the board resign in
the wake of the fake-accounts scandal the previous fall.
Wells Fargo opened at least 3.5 million bogus accounts in order to pad its bottom line.
The scandal led to the resignation of its then-CEO John Stumpf and brought to light a host of other shady sales
practices, including forced auto insurance and hiking prices on mortgages.
""This is a consequence of when you run essentially a mob operation,"" Bruce Marks, CEO of the Neighborhood
Assistance Corporation of America, told The Post. ""The don gets paid very well."" Marks, who was thrown out of last year's meeting for refusing to stop speaking , said he plans on rallying other
investors to block Sloan's pay package.",0
6-Mar-18,31.44,31.49,30.42,30.55,110271917,bank of america,"Big Six - the Sixth Avenue/Rockefeller Center submarket - is king of Manhattan office leasing for the second year in
a row. If dry statistics make you doze off, a short stroll along the teeming boulevard should perk you up like a dose
of Adderall.
Retail and residential energy are palpable from Franklin Street to Central Park South, but Sixth Avenue's marquee
drag runs from 40th to 59th streets - home to major hotels, Radio City Music Hall and the grand sweep of office
towers lovingly shown at the beginning of Woody Allen's ""Manhattan.""
That panorama, shot in 1979, looks very incomplete today, lacking One Bryant Park and other new skyscrapers. Cushman &Wakefield data cited by the Avenue of the Americas Association show that for all of 2017, Sixth Avenue
leasing outpaced any other major Manhattan avenue or cross-street - a total 3.27 million square feet, up nearly 42
percent from 2.31 million square feet in 2016.
By comparison, the second-highest leasing volume was recorded on Tenth Avenue, which saw 1.66 million square
feet - the bulk of it in new and redesigned buildings at Related Companies/Oxford's Hudson Yards and at
Brookfield's Manhattan West.
In the Sixth Avenue/Rock Center district's 41 million square feet - a total second only to the Grand Central District's
43.5 million square feet - overall vacancy in the fourth quarter of 2017 fell to 9.6 percent from 10 percent a year
earlier. Average asking rents were a solid $85.36. Class-A ""asks"" were $86.68.
The narrow difference between the overall ask and the class-A ask reflects a simple fact that defines Sixth Avenue:
Nearly all its office space is Class A. (By comparison, according to Cushman, the average ask for all of Midtown
was $76.94 for the fourth quarter, versus $83.57 for Class-A space - a gap reflecting a much higher volume of older,
obsolescent space than exists along Sixth Avenue.
Among 2017's largest new leases: Mizuho Americas added 270,000 square feet at 1271 Sixth, the former Time
&Life building, on top of 141,000 it took there earlier in the year.
Bank of America committed to leasing the HBO Building's entire 366,000 square feet at 42nd Street when HBO
moves out. Deloitte grabbed 98,000 square feet at Rockefeller Group's 1221 Sixth Ave. while keeping its 430,000-
square-foot headquarters at Tishman Speyer's 30 Rock.
Monster renewals were led by AllianceBernstein's 992,000 square feet at Fisher Brothers' 1345 Sixth Ave.,
Cushman found. The largest renewal-plus-expansion deal was by 21st Century Fox, with more than 790,000 square
feet at Ivanhoé Cambridge and Callahan Capital Partners' 1211 Sixth Ave.
Sixth Avenue stands apart from neighboring subdistricts in several ways. Times Square's 2000-era quartet at 42nd
Street is younger and more modern, but swamped by hordes of costumed Elmos and tourists.
Although many Sixth Avenue towers date from the 1970s and '80s, they're more modern than many in East
Midtown. The once-premier zone north of Grand Central is finally on the mend thanks to recent rezoning and to
three great, rising projects - One Vanderbilt, 390 Madison Ave. and 425 Park Ave.
To stay competitive, Sixth Avenue landlords are collectively spending hundreds of millions of dollars on new
infrastructure, lobbies and public amenities.",0
6-Mar-18,32,32.45,31.68,31.87,64546309,bank of america,"WHEN you earn your invitation to the Big Dance and you are New York City's team, your legs don't turn to jelly
when you draw Radford on Tuesday night in Dayton ... and your knees don't even knock when you learn that
Villanova will be waiting for you in Pittsburgh on Thursday should you survive and advance.
""I want to pretty much put us on the map,"" Joel Hernandez was saying Sunday night in an office outside the LIU
Brooklyn WRAC Center Gym.
""I feel like not a lot of people in America know about us. I pretty much want to shock everyone and show them that
we're a good team, we can compete with any of the best teams out there."" Shock the world?
""Yeah."" Hernandez is a 6-foot-3 redshirt senior guard from Teaneck, N.J. and the best player on a fearless
Blackbirds team that believes it is peaking at the right time.
For Hernandez, this is a moment to treasure, because to get here, he was forced more than once to stop at the
intersection of Devastation Drive and Heartbreak Highway.
There was a dislocated thumb suffered in the 2016 opener that cost him the season.
""I just looked at it and I couldn't look at it, like I had to look away really quickly,"" Hernandez said.
""So then after that, we went to the hospital and they did X-rays and stuff like that. And then the next day they let
me know that I was gonna have to get surgery.
""I was in class so I just went outside the class and I started crying 'cause I was so devastated 'cause I didn't want
to sit out that year."" It is why, after carrying the Blackbirds to their NEC Tournament upset of Wagner with a
dominant 32-point performance, he tweeted:
I FAILED, I CRIED, I WON, I LOST, I PRAYED, I PUSHED, I WORRIED, I LEARNED, I DISAPPOINTED, BUT I NEVER
QUIT!! ""Ever since my freshman year, I've been having a lot of up-anddown emotions,"" Hernandez said. ""I feel like
freshman year ... I shoulda played a lot more. I was frustrated at times, but I still stayed the course. I stayed
believing in God, having faith in God.
""Even last year, when I got hurt, I was so devastated I didn't know what I wanted to do. I was mad 'cause that
summer before I put in so much hard work getting ready for the season and I felt like all that went to waste when I
got injured and I couldn't play. So for the first couple of months I was really sad, but with the help of my family,
they really taught me just keep faith in God and now look at me, I'm a champion now. So I feel like everything
happens for a reason."" But some things that happen, you struggle force you to struggle to find a reason.
Calvin Chamberlain worked with John Hernandez, Joel's father. Joel met him when he was 8 or 9. He became
Joel's godfather.
""He did a good job of putting the basketball in my hands at an early age when my dad wasn't able to,"" Hernandez
said.
""Always positive, always wanted to look out for somebody, it didn't matter who it was, not just me, it could have
been a random person on the street, he just had a good heart,"" Hernandez said. ""He always wanted to make sure
my head was on straight. He didn't even really care about the basketball, he just wanted me to use basketball to
get an education. When I signed to LIU it was very important to me, 'cause I wanted to get an education for him,
basically that's what he wanted me to do."" Chamberlain suffered a fatal heart attack in his sleep when Hernandez
was a freshman at Teaneck High School. Hernandez will carry the memory of his godfather to Dayton with him.
""He would be proud,"" Hernandez said.
His father, a bank manager, helped drive his son to this dream season.
""My dad would take me to the gym every day before he would go to work,"" Hernandez said. ""So we would have to
go at 5 in the morning so he could have time to get ready and go to work. So it would be just me and my dad in the
gym in the morning. I just wanted to make sure I was prepared for this upcoming season the best way possible. I'm
glad it paid off."" Hernandez typifies this team.
""On the court I'm hungry,"" he said. ""I feel like I have stuff to prove so when I get on the court I like to show people
what I'm capable of doing. Just in case I had any doubters out there, I just want to prove them wrong and stuff like
that."" Now go and shock the world.
steve.serby@nypost.com
Scouting report
Opponent: Radford (22-12)
When: Tuesday, 6:40 p.m.
Where: Dayton, Ohio Region: East
Skinny: The Highlanders have only two double-digit scorers, but made the Tournament for the first time in nine
years after winning seven straight games, capped with a buzzer-beater in the Big South title game. ... Radford
ranks 314th in the nation in scoring (67.4), and 280th in the nation in field-goal percentage (42.1).
Meet LIU Brooklyn
Location: Brooklyn
Enrollment: 4,661 undergraduates (8,170 total)
Coach: Derek Kellogg (first season)
Last NCAA appearance: 2013
NCAA tournament history: Six appearances, 0-6
How they got here: The Blackbirds surprisingly fired coach Jack Perri after he won 20 games in his fifth season,
and brought in Derek Kellogg, who was fired at Massachusetts after nine seasons. LIU was picked to finish sixth in
the Northeast Conference, and struggled early in the season, but ended up as the four-seed in the NEC
Tournament. The Blackbirds reached the Big Dance after completing a 14-point comeback against Fairleigh
Dickinson in the semifinals, and then upsetting regularseason champion Wagner in the title game in Staten Island,
where the Seahawks were previously undefeated all season.
STARTERS
G Joel Hernandez (20.9 ppg, 5.9 rpg, 2.6 apg)
G Raiquan Clark (17.4 ppg, 7.1 rpg, 1.1 spg)
G Jashaun Agosto (11.7 ppg, 4.1 rpg, 4.1 apg)
G Julian Batts (10.0 ppg, 4.3 rpg, 2.3 apg)
F Julius van Sauers (2.0 ppg, 2.2 rpg, 0.3 apg)
KEY RESERVES
F Zach Coleman (6.5 ppg, 6.5 rpg, 1.0 bpg)
G Jamall Robinson (3.9 ppg, 1.9 rpg, 0.5 spg)
PLAYER TO WATCH
Fifth-year senior Joel Hernandez suffered a seasonending injury in his first game last season, and returned better
than ever. The physical, and athletic, 6-foot-3 New Jersey native topped his previous career-best scoring average by nearly nine points, and was named the NEC Tournament MVP after scoring 32 points, with seven rebounds,
three steals and two blocks in the title game upset of Wagner.
KEY NUMBERS
2: NCAA Tournament appearances by Kellogg, who led UMass in 2014 1968: The year of the most recent
Blackbirds win in any postseason tournament Meet LIU Brooklyn",1
6-Mar-18,32.06,32.2,31.88,31.98,44784462,bank of america,"Congratulations, ABC. You did it.
After delivering one of the most controversial ""Bachelor"" finales in franchise history - in which star Arie Luyendyk
Jr. blindsided fiancée Becca Kufrin, dumping her in a 30-minute span of raw, unedited footage - America's Network sunk to a new low in order to deliver season-high ratings.
Bravo, Mike Fleiss, for producing this mess. Are you making room in your bank account for a big bonus check?
At the end of every season, Bachelor Nation is promised the ""most dramatic"" conclusion ever from host Chris
Harrison.
And while the ""Bachelor"" brain trust certainly delivered Monday night, it was at the cost of nauseating a fan base.
We're used to brutal breakups and cringe-worthy confrontations.
Who could forget Season 13's Jason Mesnick ending his engagement to Melissa Rycroft as the cameras rolled
during the ""After the Final Rose"" special in 2009? But capturing the tense final moments between Luyendyk and
Kufrin crossed a line.
Don't get me wrong - fans of reality TV love a juicy storyline.
Heck, it was hard to give up watching Bravo's ""Vanderpump Rules"" in real time this year once the ""Bachelor""
premiered in January. But following the elimination of a vapid villainy midway through the competition, Luyendyk's
already snooze-worthy season lost even more luster.
As the final weeks approached, rumors surfaced Luyendyk would jilt his final pick in favor of the runner up. And
with ABC promoting a five-hour, two-night event ahead of Monday night's season finale, it was apparent fans were
in for a treat.
What they received, however, was something else entirely.
With a crew documenting Luyendyk breaking Kufrin's heart, viewers didn't miss a sigh or tear - thanks in part to
dual screens, which eliminated tiresome camera pans.
Though nothing is sacred where reality TV is concerned, watching someone get their future ripped away for the
sake of salvaging a lost season is not only doing a disservice to an already embattled franchise - looking to move
forward following a summer scandal with ""Bachelor in Paradise"" - but to loyal viewers as well.
Bachelor Nation may not root for everyone on the show, but Kufrin was a fan favorite going into the finale, and
audiences did not want to see someone they connected with get hurt. And while she may have signed her life away
by joining the show, she didn't ask for her personal heartache to become an embarrassing primetime spectacle,
either.
For a franchise that's long been criticized for manipulating contestants in the hopes of delivering real drama, this
ratings ploy feels like a low blow for a show that prides itself on creating a modern-day fairy tale.
And while some love stories don't always have happy endings - as audiences have seen with ""Bachelor"" couples
time and time again - the same can be said for TV shows that disgust their viewers one too many times.",1
6-Mar-18,32.13,32.22,31.68,31.98,57363195,bank of america,"Amazon may soon find yet another way into its customers' wallets.
The e-commerce behemoth is reportedly chatting with big banks about creating a ""checking account-like product""
for its customers.
Details on the effort are scarce, but the talks hint that there is no industry that Amazon isn't willing to disrupt.
Fresh off its acquisition of Whole Foods in August, Amazon has made moves to build its own delivery service that
would rival United Parcel Service and FedEx. Amazon is also weighing entering the health and prescription- drugs
business.
By offering its own checking-account product - or partnering with a bank to offer one - Amazon could minimize transaction fees on its platform.
Amazon's talks with the big banks, which include JPMorgan Chase, are in the early stages. It is possible the
product may never see the light of day, according to The Wall Street Journal, which first reported the news.
Capital One Financial has also pitched Amazon on a possible checking account product, the WSJ reported.
""As a matter of practice, we don't comment on market rumor or speculation,"" a spokesperson from Capital One told
The Post.
Reps from Amazon did not immediately respond to requests for comment. JPMorgan declined to comment.
It wouldn't be Amazon' s first foray into the financial sphere. Seven years ago, Amazon launched a lending program
for small businesses that sell on the platform.
Amazon also has a working history with JPMorgan.
Last month, Amazon and the banking giant revealed they are working with Warren Buffett's Berkshire Hathaway to
create a company that will lower health-care costs for employees at all three companies.",1
6-Mar-18,32.11,32.57,32.08,32.17,83447552,bank of america,"After a 10-year quest for a new headquarters tower, JPMorgan Chase is set to replace antiquated 270 Park Ave.
with a much taller and larger skyscraper.
But it's been a long, strange trip for the nation's largest bank, which found itself frustrated several times trying to
establish a new home - illustrating how difficult it is for a huge company with highly specialized needs.
JPMorgan Chase didn't want to leave 270 Park Ave. Jamie Dimon's troops love being close to Grand Central
Terminal, through which many of its top-paid execs and traders pass daily.
The old building, opened in 1959, was designed for an age when Xerox copier machines were the last word in
technology. But under old East Midtown zoning, JPM couldn't replace 270 Park with a new structure even of the
same size.
JPM occupies all or part of 14 buildings in the city, covering nearly 6.5 million square feet in Manhattan - mostly at
245, 270 and 277 Park Ave., 383 Madison Ave. and 28 Liberty St. (the former Chase Plaza, now owned by China's
Fosun.) Not one of them is suitable for JPMorgan's headquarters and trading needs.
""This isn't the 1980s,"" said a real estate dealmaker attuned to the bank's thinking. ""Financial companies of Chase's
size and complexity can't just refurbish a dinosaur and say, 'We can squeeze in a little more fiber-optic cable.' They
need to design their own electronics, sustainability features and redundant systems, which you can only fully do in
a new building.""
The breakthrough came with the rezoning of East Midtown last year. The complicated new rules basically allow
larger new towers to go up in exchange for developers' payments to the city for transit and public-area
improvements.
But before new zoning kicked in, JPM - pressured by competition from Goldman Sachs, Bank of America and other
institutions working out of newer quarters with superior infrastructure - exhausted every option hunting for a
different location.
The first serious try was at 130 Liberty St., the former Deutsche Bank building just south of Ground Zero that was
ruined on 9/11 - but still standing when Dimon announced plans for a new tower there in 2007.
The bank was to pay the Port Authority $290 million for a 99-year ground lease. The tower would have 42 stories
and room for 7,000 employees. ""We're proud of going back home,"" Dimon said - referring to JPM's downtown roots.
To preserve a parcel of ground to be used for a new St. Nicholas Greek Orthodox Church - a pet project of former
Gov. George Pataki - architect Gene Kohn of Kohn Pedersen Fox had to cantilever six trading floors above the church site.
The protruding floors quickly caused the design to be dubbed the ""beer-belly tower"" in The Post. Kohn said he
might slim the ""midriff bulge."" But a thornier problem was that the PA and the Lower Manhattan Development
Corp. couldn't take down 130 Liberty St. after a fatal fire in August 2007 brought demolition to a halt.
As JPM honchos grew antsy over the delay, they caught a break in early 2008 when they picked up the remains of
Bear Stearns in a $237 million fire sale - including the collapsed investment bank's 383 Madison Ave.
headquarters, a relatively modern structure equipped with the needed trading floors.
It appeared to solve at least some of JPM's problems, so the bank dropped its 130 Liberty St. plan. But even
newish buildings grow old quickly in the digital age. Dimon gradually discovered that 383's trading floors weren't
getting it done the way trading floors were doing for BofA at One Bryant Park.
In the summer of 2013, Dimon sold downtown's Chase Plaza - part of a reevaluation of the bank's real estate
needs, which once again included the search for a new HQ.
Dimon ""kicked tires"" at Brookfield's Manhattan West and Vornado's Pennsylvania Hotel site. He also considered
relocating its trading operations to Stamford, Conn., where UBS was planning to unload on the cheap the world's
largest trading floor - 100,000 square feet
Although a bank rep told The Post in 2014, ""No decision has yet been made to move from 270 Park,"" Dimon settled
on a destination: two new skyscrapers planned at Related Companies' Hudson Yards. One would be an 1,100-foottall
giant at 504-522 W. 34th St., where Coach Inc. owned the land but would sell it to Related once Coach moved
to its own new digs at 10 Hudson Yards. The second would be at the rising structure now known as 50 Hudson
Yards, future home of BlackRock.
But City Hall balked at JPM's request for $1 billion in subsidies for the $6.5 billion development. The proposal died
in October 2014. Afterward, speculation ran rampant about Dimon's intentions.
Some scenarios seemed far-fetched. In December 2016, the Wall Street Journal reported that SL Green, which was
about to start work on One Vanderbilt, had offered the exasperated bank a swap - it would give JPM the new
skyscraper in exchange for 270 Park Ave. and 383 Madison Ave.
But Dimon patiently waited out the rezoning. The terms worked out by former Planning Commissioner Carl
Weisbrod and his successor, Marisa Lago, incorporating input from area ""stakeholders,"" at last gave JPM the
flexibility it needed.
The new tower will stretch 500 feet closer to heaven than its current HQ. No architect has yet been chosen. The
bank is gobbling up air rights from neighboring sites and hopes to begin demolition early next year.
Some architects and preservation groups are howling for retroactive landmark status for 270 Park Ave. - which the
city's Landmarks Preservation Commission declined to do in the past. Such a step would sabotage the project for
good. But with any luck, and if reason prevails, Dimon will finally get to build the trophy that's eluded him for 10
long years.
n A new tenant is coming to Fisher Brothers' 299 Park Ave. - Traxys Group, which signed for 29,771 square feet.
Traxys, a commodity trader-merchant in metals and natural resources, will move next year from 825 Third Ave.
The signing brings 299 Park Ave. to 85 percent leased.
The tower will begin a major capital improvement program this year.
A CBRE team repped Traxys. Newmark Knight Frank and a Fisher Brothers in-house team repped the landlord.",1
1-Mar-18,32.29,32.34,31.93,32.1,41964199,bank of america,"JPMorgan Chase, led by CEO Jamie Dimon, has signed a lease for 436,905 square feet at L&L Holding's 390
Madison Ave., the new office tower at 46th Street.
The deal brings the 850,000-square-foot building to full occupancy.
The bank will occupy 16 full floors and two street-level storefronts, the companies said in announcing the deal.
The building has previously signed Shiseido Americas Corp. and law firm Hogan Lovells.
Previously known as 380 Madison, the new address reflects that the structure was ""re-massed"" on the bones of the
original.
JPMorgan Chase also plans to replace its headquarters at 270 Park Ave., between 47th and 48th streets, with a
larger, taller building.",0
1-Mar-18,32.55,32.55,31.93,32.14,58011350,bank of america,"A survivor of the Florida school shooting urged spring breakers on Saturday to boycott the Sunshine State until
lawmakers pass gun-control laws, while the nation's first and third largest airlines joined a growing corporate recoil
against the National Rifle Association over the Feb. 14 massacre.
""Let's make a deal DO NOT come to Florida for Spring Break unless gun legislation is passed,"" Marjory Stoneman
Douglas HS senior David Hogg tweeted Saturday morning.
""These politions [sic] won't listen to us so maybe the'll [sic] listen to the billion dollar tourism industry in FL.""
An estimated 1.5 million students go on spring break in Florida each year, spending more than a billion dollars on
transportation, hotels, restaurants and shopping.
By late afternoon, Hogg's spring-break boycott tweet had collected 50,000 likes, and he expanded on his
recommendation.
""Better Idea: Spend your spring break in Puerto Rico, it's a beautiful place with amazing people. They could really
use the economic support that the government has failed to provide,"" he tweeted.
Reaction was swift.
""Threatening the livelihood of the ppl of Florida who rely on those tourism dollars?"" tweeted @Istillwantapony,
calling Hogg ""a righteous, privileged, foolish, extremist.""
Former New York City Council Speaker Melissa Mark-Viverito, a supporter of both Puerto Rico and gun control,
applauded.
""On behalf of myself, my mother who lives on the island &the millions of us living here &in #PuertoRico, gracias for
expression of solidarity,"" she tweeted. ""Keep kicking ass."" Snowbirds, too, were on board.
""I like many Canadians travel to Florida from time to time to escape our winter,"" said Wendy Glaab, 60. ""I can't
speak for others, but I will not be returning until meaningful gun-control legislation is in place.""
Meanwhile, by early Sunday, at least 15 companies, including car rentals, insurers and hotel chains, had severed
ties to the NRA.
On Saturday, Delta Air Lines and United Airlines announced on Twitter their decisions to no longer offer discounted
fares to NRA members to attend the association's annual meetings.
The corporate exodus began late Thursday, when First National Bank of Omaha promised to stop issuing NRA Visa
cards and Enterprise Holdings said it would end discounts for NRA members. Enterprise Holdings owns the
Enterprise, Alamo and National car-rental companies.
By Friday, Hertz, Avis and Budget had also stopped discounts, as did the Best Western hotel chain and Symantec
Corp., which had offered members discounts on its LifeLock identity-theft program.
Insurance giant MetLife and TrueCar, a car-buying service, have also pulled their discounts.
The NRA on Saturday accused defectors of ""a shameful display of political and civic cowardice,"" and said the loss
of a discount ""will neither scare nor distract one single NRA member.""
Additional NRA breakups may be in the offing.
Tens of thousands of people as well as gun-control advocate groups including Sleeping Giants and Moms Demand
Action for Gun Sense in America have begun urging AppleTV, Google, Amazon.com and Roku to stop carrying
NRATV.
Hogg joined Sleeping Giants, Guns Down America and other groups in additionally targeting FedEx for offering
shipping discounts to NRA members.
Additional reporting by David K. Li, Sara Dorn and Wire Services",0
27-Feb-18,32.97,32.99,32.3,32.36,63347502,bank of america,"All she ever wanted was her very own literary salon - and she didn't care if she had to turn traitor to get one.
Florence Gould, the ""Queen of the Riviera,"" was a flapper fashion plate and a Depression-era trend-setter who
parlayed her husband's inherited fortune into a chain of casino pleasure palaces throughout France. American by
birth but French to the tips of her manicured fingers, the green-eyed beauty cultivated a vast network of friends
and lovers that included some of the biggest names of her day, including Charlie Chaplin, F. Scott Fitzgerald, Coco
Chanel and Maurice Chevalier.
She was also a blithe Nazi collaborator who tried to launder ill-gotten wealth for Hitler's regime and ran a Paris
prostitution ring to pleasure German occupiers during World War II. She added ""ownerless"" art masterpieces
confiscated from Jewish connoisseurs to her exquisite art collection. And after the Third Reich's defeat, Gould's
status helped absolve her war crimes - as the international jet set politely looked the other way.
In her new book ""A Dangerous Woman"" (St. Martin's Press), out now, Susan Ronald traces Gould's amoral life and
high-flying times.
Born in San Francisco in 1895 to French immigrant parents, Florence Lacaze fled the West Coast with her mother
and younger sister after the 1906 earthquake leveled the city by the Bay. They settled in Paris to live in genteel
poverty, leaving Florence's newspaper-editor father behind.
She grew up coveting a place in the salons of Paris, regular gatherings of artists and writers ruled by the city's
wealthiest, wittiest women. In 1918, as a scantily clad chorus girl in the famous Folies Bergère, she schemed to
reel in a rich husband who would help her join that upper crust.
Enter Frank Jay Gould, youngest son of American robber baron Jay Gould, whose share of his family's estate would
be worth about $4 billion today. When they wed in 1923, they agreed that neither would give up their extracurricular sexual dalliances, forming an
early open marriage. ""Everybody slept with everybody else,"" Florence Gould would say decades later. ""It was fun. It
was practical.""
As business partners, they launched a hotel and casino after spending a winter on the French Riviera. The Goulds
chose the sleepy village of Juan-les-Pins, located between Cannes and Monte Carlo on the Mediterranean coast.
The Hotel Provencale, a lavish 256-bedroom Art Deco palace, immediately drew a chic crowd of entertainers,
artists and writers. Rudolph Valentino, Ernest Hemingway, Pablo Picasso, Scott and Zelda Fitzgerald, Mary
Pickford and Douglas Fairbanks all gambled and lounged there.
Florence Gould reveled in playing host. Chanel designed special ""beach pajamas"" for her that set a fashion trend in
1926. Tennis great Suzanne Lenglen gave her lessons. An intense love affair with Chaplin ended in an offer to star
in his next film - which she turned down, unwilling to leave Frank and his fortune.
""It's true, it's true, I love money,"" she confessed. By the end of the 1930s, the Goulds' empire encompassed 50
hotels, casinos, spas and hundreds of cafes across France.
In Paris, she carried on simultaneous affairs with the American ambassador to France, William Bullitt, and with
Otto Abetz, a Nazi spy. Between them, she was well aware that the continent would soon explode into war.
Yet the Goulds remained in Europe. Escaping to America would force them to cough up millions in unpaid taxes.
France fell to Germany in 1940, and Hitler's troops occupied Paris and much of the country for four years of horror
and hardship. Nearly 80,000 French Jews were deported to Nazi death camps; many more were persecuted, their
property seized. Resistance fighters risked all to undermine the Axis powers. Ordinary citizens endured travel bans,
food shortages and fuel rationing.
Not Florence Gould. Elegant and still beautiful at 45, she used sex and charm as her currency, trading them for
favors and luxuries that let her sail through the war years unscathed.
She slept with Helmut Knochen, the city's top Gestapo commander, and entertained his boss Carl Oberg, the
notorious SS and police leader. The head of the city's Abwehr, or military-intelligence service, was another of her
lovers. She was devoted to Ludwig Vogel, a black marketeer and undercover SS agent.
Her new friends-with-benefits tipped her off to auctions where she bid against Hitler's own art dealers to acquire
works that had been looted from Jewish collectors. She snapped up Impressionist and modern canvases deemed
too ""degenerate"" for the Fuhrer's tastes.
With influential fashion editor Marie-Louise Bousquet, Gould set up the ""souris gris"" - gray mouse - prostitution
network. Their ""mice,"" former society women, served as high-class call girls for the Nazi leadership in exchange for
black-market goods.
The occupiers provided all Gould needed to shrug off the war's indignities: unlimited gasoline and travel passes
that let her visit her husband, still in the Riviera, whenever she wished; truckloads of coal to keep her warm while
the rest of Paris shivered; even an exemption from the 1942 round-up of expatriate American women that sent hundreds of them to an internment camp for months.
With the treats the Nazis allowed her, she achieved her girlhood dream of establishing a trend-setting literary
salon, enticing prospective guests with real coffee, gourmet chocolates and roast beef.
In 1944, as the successful D-Day invasion foretold an Allied victory, Gould joined a Nazi money-laundering scheme
meant to funnel over a billion francs of ill-gotten wealth out of Europe before Hitler's defeat. She fronted a new
bank, set up in neutral Monaco, to provide a safe haven for funds that Nazi fugitives could use to start new
postwar lives.
US authorities froze the assets - and launched a treason probe into Gould's actions. But through four years of
review by French and American investigators, she played the victim, insisting that she only went along with the
plot when the Nazis threatened to send her beloved Frank to the camps. A French court ruled in 1948 that her
criminal complicity could not be proven.
""I have slept with the Dear Lord, and the Dear Lord loves me,"" as she liked to say.
After the war, her weekly salon rolled on, its dark origins conveniently forgotten by Salvador Dali, André Gide, Jean
Cocteau and other guests. She became a generous philanthropist, gifting two rare medieval tapestries and ""The
Terrace at Vernonnet,"" a painting by modernist master Pierre Bonnard, to New York's Metropolitan Museum of Art.
By the time of her death in 1983, at age 88, Gould owned an $8 million collection of jewels, including the fabulous
31.35-carat Victory Diamond and a spectacular three-strand pearl necklace that had been her signature accessory.
Her 180 artworks, including paintings by van Gogh, Renoir, Degas and Monet, sold at auction for $34 million in
1984.
The cash established the Florence Gould Foundation, a New York-based nonprofit that continues to fund artistic
and cultural programs.
Today, the Bonnard hangs in a gallery named in Gould's honor at the Met on Fifth Avenue. The French Institute
Alliance Francaise's Florence Gould Hall on East 59th Street, a film and theater venue, is another legacy.
Florence Gould herself is interred in the Gould family mausoleum at Woodlawn Cemetery in The Bronx, a miniature
Parthenon guarded by a weeping beech that the Parks Department has enshrined as one of 65 official ""Great Trees
of New York City.""
""Florence was une originale . . . someone you could love and dislike in equal measure,"" Ronald concludes. And, in
the end, a New Yorker, like her or not.
Susan Ronald will be in conversation with author Meryl Gordon at Shakespeare &Co., 939 Lexington Ave., on
Monday, Feb. 26 at 6:30 p.m.",0
27-Feb-18,32.69,33.05,32.64,32.84,60322843,bank of america,"One of the biggest banks on Wall Street on Thursday has unveiled an eye-popping pay gap.
Barclays, run by Chief Executive Jes Staley, pays its female investment bankers about half of what it pays men in
the same unit - underscoring the lack of women in senior positions.
On average, Barclays female investment bankers make 48 percent of what their male counterparts do, the
company said in its annual report on Thursday.
UK banks, under a new law, are required to disclose pay disparity.
The report also shows that there's a shrinking number of women in top roles, including managing directors and
board members, since last year.
Staley, in the report, said he was ""confident"" men and women got paid equally for the same job but that the bank
has to continue to push to get more women into higher-level jobs.
Staley said it was the bank's goal to increase female representation on Barclays' board from 21 percent today to 33
percent by 2020.
Fifty-eight percent of associates, the lowest-level bankers, are women, while assistant vice presidents, one step up,
are only 38 percent women, the bank said.
Managing directors, the highest level, are just 15 percent female.
US banks, like JPMorgan Chase and Goldman Sachs, have yet to report their data on pay. They have until April to
make the disclosures.
Bank of America, Citigroup and Wells Fargo have all reported that they pay women 99 cents for every dollar they
pay men - however, the banks haven't released their methodology, and skeptics have questioned those
proportions.
HERE'S THE SCOOP:
n Only 15% of managing directors are women.
n Women account for 58% of low-level associates but only 38% of assistant VPs.",0
