Date,Open,High,Low,Close,Volume
10-Jan-18,75.76,76.66,75.45,76.51,14777941
11-Jan-18,76.54,76.78,76.04,76.14,9457918
12-Jan-18,76.45,76.59,75.68,75.85,4078360
16-Jan-18,76.44,77.01,73.71,73.92,7014089
17-Jan-18,74.41,74.6,72.86,74.14,4934217
18-Jan-18,73.86,74.71,73.72,74.23,5404561
19-Jan-18,74.39,74.67,73.71,74.36,7203338
22-Jan-18,74.6,74.6,73.58,74.16,5015449
23-Jan-18,74.66,76.76,74,76.57,13687701
24-Jan-18,77.13,78.88,76.78,77.81,6296999
25-Jan-18,78.45,78.99,77.32,78.58,7840688
26-Jan-18,79.21,80.45,79,80.3,17423391
29-Jan-18,80,80.43,78.97,79.34,9719566
30-Jan-18,77.58,79.27,76.76,78.27,7326518
31-Jan-18,79,80.56,79,79.88,6639164
1-Feb-18,76.48,78.36,75.69,76.01,8098044
2-Feb-18,76.45,76.7,74.17,74.4,8326954
5-Feb-18,72.9,75.38,71.59,72.51,10552374
6-Feb-18,70.02,73.67,69.59,73.53,7436486
7-Feb-18,73.16,74.19,72.1,72.16,3373111
8-Feb-18,72.55,72.78,69.1,69.15,5742025
9-Feb-18,70.57,70.77,67.86,70.48,6129819
12-Feb-18,71.19,71.78,70.27,71.1,2654021
13-Feb-18,70.72,72.44,70.55,71.31,5535298
14-Feb-18,70.88,73.73,70.88,73.66,8043466
15-Feb-18,74.25,74.7,73.23,74.4,4274181
16-Feb-18,74.46,74.98,73.3,73.51,6982213
20-Feb-18,72.83,75.26,72.78,74.59,5574265
21-Feb-18,75.26,76.71,75.04,75.11,7147715
22-Feb-18,75.83,75.99,75.06,75.52,9369245
23-Feb-18,76.5,77.78,76.1,77.76,16053072
26-Feb-18,78.43,78.68,76.72,78.08,18350174
27-Feb-18,77.86,78,75.77,76.13,12425652
28-Feb-18,75.91,76.08,74.51,74.85,8566538
1-Mar-18,75.04,75.39,72.91,73.74,9733106
2-Mar-18,72.35,72.99,71.44,72.69,7649365
5-Mar-18,72.2,73.57,71.77,73.44,6524384
6-Mar-18,74.42,75.5,74.36,75.17,9082697
7-Mar-18,74.03,76.05,74.02,75.98,4973699
8-Mar-18,76.01,76.27,75.29,75.73,3608699
9-Mar-18,76.29,76.88,75.76,76.62,6687513
12-Mar-18,77,77.76,76.54,77.56,7183132
13-Mar-18,77.98,78.05,75.68,75.97,3937640
14-Mar-18,76.27,77.67,76.27,77.2,4945618
15-Mar-18,79.01,80.15,78.53,79.42,9009571
