Date,Open,High,Low,Close,Volume
10-Jan-18,173.16,174.3,173,174.29,23959895
11-Jan-18,174.59,175.49,174.49,175.28,18667729
12-Jan-18,176.18,177.36,175.65,177.09,25418080
16-Jan-18,177.9,179.39,176.14,176.19,29565947
17-Jan-18,176.15,179.25,175.07,179.1,34386836
18-Jan-18,179.37,180.1,178.25,179.26,31193352
19-Jan-18,178.61,179.58,177.41,178.46,32425067
22-Jan-18,177.3,177.78,176.6,177,27108551
23-Jan-18,177.3,179.44,176.82,177.04,32689146
24-Jan-18,177.25,177.3,173.2,174.22,51105090
25-Jan-18,174.5,174.95,170.53,171.11,41529004
26-Jan-18,172,172,170.06,171.51,39143011
29-Jan-18,170.16,170.16,167.07,167.96,50640406
30-Jan-18,165.52,167.37,164.7,166.97,46048185
31-Jan-18,166.87,168.44,166.5,167.43,32478930
1-Feb-18,167.16,168.62,166.76,167.78,47230787
2-Feb-18,166,166.8,160.1,160.5,86593825
5-Feb-18,159.1,163.88,156,156.49,72738522
6-Feb-18,154.83,163.72,154,163.03,68243838
7-Feb-18,163.08,163.4,159.07,159.54,51608580
8-Feb-18,160.29,161,155.03,155.15,54390516
9-Feb-18,157.07,157.89,150.24,156.41,70672608
12-Feb-18,158.5,163.89,157.51,162.71,60819539
13-Feb-18,161.95,164.75,161.65,164.34,32549163
14-Feb-18,163.04,167.54,162.88,167.37,40644933
15-Feb-18,169.79,173.09,169,172.99,51147171
16-Feb-18,172.36,174.82,171.77,172.43,40176091
20-Feb-18,172.05,174.26,171.42,171.85,33930540
21-Feb-18,172.83,174.12,171.01,171.07,37471623
22-Feb-18,171.8,173.95,171.71,172.5,30991940
23-Feb-18,173.67,175.65,173.54,175.5,33812360
26-Feb-18,176.35,179.39,176.21,178.97,38162174
27-Feb-18,179.1,180.48,178.16,178.39,38928125
28-Feb-18,179.26,180.62,178.05,178.12,37782138
1-Mar-18,178.54,179.78,172.66,175,48801970
2-Mar-18,172.8,176.3,172.45,176.21,38453950
5-Mar-18,175.21,177.74,174.52,176.82,28401366
6-Mar-18,177.91,178.25,176.13,176.67,23788506
7-Mar-18,174.94,175.85,174.27,175.03,31703462
8-Mar-18,175.48,177.12,175.07,176.94,23774107
9-Mar-18,177.96,180,177.39,179.98,32185162
12-Mar-18,180.29,182.39,180.21,181.72,32162518
13-Mar-18,182.59,183.5,179.24,179.97,31693529
14-Mar-18,180.32,180.52,177.81,178.44,29368356
15-Mar-18,178.5,180.24,178.07,178.65,22743798
