Date,Open,High,Low,Close,Volume
10-Jan-18,30.37,30.73,30.31,30.55,63532811
11-Jan-18,30.66,30.69,30.45,30.66,59318309
12-Jan-18,30.88,31.2,30.77,31.19,66371596
16-Jan-18,31.74,31.79,31.03,31.24,104467922
17-Jan-18,31,31.29,30.34,31.18,124382905
18-Jan-18,31.33,31.71,31.21,31.48,76463847
19-Jan-18,31.58,31.74,31.46,31.72,66490985
22-Jan-18,31.67,31.94,31.58,31.94,53848818
23-Jan-18,31.86,32.13,31.78,31.92,56531378
24-Jan-18,32.01,32.21,31.82,32.09,81585015
25-Jan-18,32.24,32.25,31.93,32.09,62265824
26-Jan-18,32.11,32.2,31.95,32.2,52699881
29-Jan-18,32.25,32.45,32.18,32.28,59126457
30-Jan-18,31.95,32.2,31.85,31.88,60555757
31-Jan-18,32.05,32.29,31.95,32,65734118
1-Feb-18,32,32.5,31.96,32.5,62367448
2-Feb-18,32.44,32.67,31.86,31.95,96971924
5-Feb-18,31.12,31.98,29.15,30.26,155908256
6-Feb-18,29.41,31.29,29.3,31.2,165878399
7-Feb-18,31.12,31.74,30.86,31.25,101180515
8-Feb-18,31.31,31.38,29.73,29.74,128981328
9-Feb-18,30.17,30.61,29.13,30.33,143071053
12-Feb-18,30.62,31.44,30.54,31.12,95055132
13-Feb-18,31.04,31.4,30.76,31.18,76727349
14-Feb-18,31.17,32.03,31.06,32,97251515
15-Feb-18,32.39,32.47,31.87,32.21,68117398
16-Feb-18,32,32.26,31.92,31.97,62137801
20-Feb-18,31.96,32.16,31.75,31.93,58573929
21-Feb-18,31.8,32.36,31.77,31.87,72210258
22-Feb-18,31.99,32.14,31.59,31.69,64749717
23-Feb-18,31.8,32.06,31.76,32.03,53626263
26-Feb-18,32.17,32.44,32.05,32.42,61796254
27-Feb-18,32.32,32.85,32.32,32.33,69235524
28-Feb-18,32.49,32.77,32.09,32.1,72043995
1-Mar-18,32.07,32.34,31.36,31.48,90547117
2-Mar-18,31.12,31.69,30.63,31.63,82739099
5-Mar-18,31.35,32.36,31.16,32.13,70543121
6-Mar-18,32.3,32.32,31.95,32.11,50832605
7-Mar-18,31.7,32.23,31.58,32.18,52763869
8-Mar-18,32.19,32.27,31.81,32.2,53139846
9-Mar-18,32.47,32.73,32.4,32.72,73905831
12-Mar-18,32.69,33.05,32.64,32.84,59446732
13-Mar-18,32.97,32.99,32.3,32.36,63347502
14-Mar-18,32.55,32.55,31.93,32.14,58011350
15-Mar-18,32.29,32.34,31.93,32.1,41964199
