Date,Open,High,Low,Close,Volume
10-Jan-18,317.49,322.15,315.5,320.26,4479288
11-Jan-18,322.13,328.4,321.19,328.12,4635344
12-Jan-18,330.38,336.88,330.38,336.21,6559284
16-Jan-18,339.9,347.73,331.33,335.16,12305475
17-Jan-18,337.73,352.23,336.41,351.01,9699917
18-Jan-18,350.7,350.83,339.15,340.16,9458634
19-Jan-18,341.67,344,335.75,337.73,7264401
22-Jan-18,335.29,341.38,332.04,338,6792870
23-Jan-18,338.34,338.94,334.81,335.59,4537784
24-Jan-18,336.2,338.99,334.14,334.69,4205351
25-Jan-18,336.21,343.62,335.3,343.11,4747478
26-Jan-18,344.33,345.98,341.25,343.22,5236260
29-Jan-18,341.23,344.48,340.1,340.82,3324878
30-Jan-18,339.17,339.98,334.16,337.71,4983055
31-Jan-18,360.5,360.97,351.62,354.37,11409626
1-Feb-18,352.95,361.45,352.04,356.94,6067581
2-Feb-18,354,355.2,348.7,348.91,5486074
5-Feb-18,342.67,350,317.39,328.88,10511290
6-Feb-18,320,341.67,317.65,340.91,11935140
7-Feb-18,340.52,353.59,339.87,348.12,7946670
8-Feb-18,348,349,329.4,329.66,8295905
9-Feb-18,333.55,337.81,319.25,332.83,8832974
12-Feb-18,336.57,347.75,335.13,343.8,6885010
13-Feb-18,340.45,347.88,340.29,343.16,4030233
14-Feb-18,341.34,347.43,341.17,344.85,4340180
15-Feb-18,348.47,356.55,348.05,356.46,5827488
16-Feb-18,356.59,359.5,353.51,355.04,5211615
20-Feb-18,352,357.79,351.4,353.35,4303395
21-Feb-18,352.56,360.81,351.75,352.37,5258555
22-Feb-18,354.65,358.07,352.64,355.92,3414299
23-Feb-18,358.18,358.77,353.07,356.66,3355378
26-Feb-18,359.5,364.05,358.21,363.48,4148132
27-Feb-18,364.6,369.89,363.3,364.64,4774134
28-Feb-18,366.8,371.6,362.21,362.21,5472898
1-Mar-18,362.33,362.74,346.4,349.69,8977971
2-Mar-18,341.82,346.09,335.3,344.67,10021332
5-Mar-18,338,354.77,336.61,352.75,8140161
6-Mar-18,354.24,355.21,346.02,348.92,4888282
7-Mar-18,341.52,348.41,339.5,347.04,4575690
8-Mar-18,349.51,352.5,343.95,348.73,4319915
9-Mar-18,352.65,354.89,350.23,354.52,3538348
12-Mar-18,355.2,355.23,343.26,344.19,6036253
13-Mar-18,345.32,347.88,337.61,338.67,5443789
14-Mar-18,339.79,340.52,322.3,330.26,13057904
15-Mar-18,332.3,332.92,322.91,329.98,8766002
