Date,Open,High,Low,Close,Volume
10-Jan-18,186.94,187.89,185.63,187.84,10529894
11-Jan-18,188.4,188.4,187.38,187.77,9588587
12-Jan-18,178.06,181.48,177.4,179.37,77551299
16-Jan-18,181.5,181.75,178.04,178.39,36183842
17-Jan-18,179.26,179.32,175.8,177.6,27992376
18-Jan-18,178.13,180.98,177.08,179.8,23304901
19-Jan-18,180.85,182.37,180.17,181.29,26826540
22-Jan-18,180.8,185.39,180.41,185.37,21059464
23-Jan-18,186.05,189.55,185.55,189.35,25678781
24-Jan-18,189.89,190.66,186.52,186.55,24334548
25-Jan-18,187.95,188.62,186.6,187.48,17377740
26-Jan-18,187.75,190,186.81,190,17759212
29-Jan-18,188.75,188.84,185.63,185.98,20453172
30-Jan-18,187.62,188.18,181.84,187.12,20858556
31-Jan-18,188.37,189.83,185.22,186.89,43275144
1-Feb-18,188.22,195.32,187.89,193.09,54211293
2-Feb-18,192.04,194.21,189.98,190.28,26677484
5-Feb-18,186.93,190.61,180.61,181.26,33128206
6-Feb-18,178.57,185.77,177.74,185.31,37758505
7-Feb-18,184.15,185.08,179.95,180.18,27601886
8-Feb-18,181.01,181.84,171.48,171.58,38478321
9-Feb-18,174.76,176.9,167.18,176.11,39887626
12-Feb-18,177.06,177.54,171.84,176.41,32092133
13-Feb-18,175.62,175.97,173.1,173.15,21809350
14-Feb-18,173.45,179.81,173.21,179.52,28929704
15-Feb-18,180.5,180.5,176.84,179.96,20922120
16-Feb-18,178.99,179.88,176.3,177.36,21015610
20-Feb-18,175.77,177.95,175.11,176.01,21204921
21-Feb-18,176.71,181.27,176.4,177.91,23200804
22-Feb-18,178.7,180.21,177.41,178.99,18464192
23-Feb-18,179.9,183.39,179.51,183.29,19007288
26-Feb-18,184.58,185.66,183.22,184.93,17599703
27-Feb-18,184.45,184.7,181.46,181.46,15849806
28-Feb-18,182.3,182.88,178.14,178.32,18783039
1-Mar-18,179.01,180.12,174.41,175.94,23201626
2-Mar-18,173.29,177.11,172.99,176.62,20025905
5-Mar-18,176.2,181.15,175.89,180.4,16189280
6-Mar-18,181.78,182.38,179.11,179.78,15086784
7-Mar-18,178.74,183.82,178.07,183.71,19097293
8-Mar-18,183.56,184.4,181.45,182.34,17225946
9-Mar-18,183.91,185.51,183.21,185.23,18526292
12-Mar-18,185.23,186.1,184.22,184.76,15037350
13-Mar-18,185.61,185.99,181.11,181.88,18067477
14-Mar-18,182.6,184.25,181.85,184.19,16821728
15-Mar-18,183.24,184,182.19,183.86,15645035
