Date,Open,High,Low,Close,Volume
10-Jan-18,87.86,88.19,87.41,87.82,18652201
11-Jan-18,88.13,88.13,87.24,88.08,17808877
12-Jan-18,88.67,89.78,88.45,89.6,24271531
16-Jan-18,90.1,90.79,88.01,88.35,36599736
17-Jan-18,89.08,90.28,88.75,90.14,25621164
18-Jan-18,89.8,90.67,89.66,90.1,24159683
19-Jan-18,90.14,90.61,89.66,90,36875013
22-Jan-18,90,91.62,89.74,91.61,23601555
23-Jan-18,91.9,92.3,91.54,91.9,23412841
24-Jan-18,92.55,93.43,91.58,91.82,33277483
25-Jan-18,92.46,93.24,91.93,92.33,26383238
26-Jan-18,93.12,94.06,92.58,94.06,29172167
29-Jan-18,95.14,95.45,93.72,93.92,31569940
30-Jan-18,93.3,93.66,92.1,92.74,38635053
31-Jan-18,93.75,95.4,93.51,95.01,48756338
1-Feb-18,94.79,96.07,93.58,94.26,47227882
2-Feb-18,93.64,93.97,91.5,91.78,47867753
5-Feb-18,90.56,93.24,88,88,51031465
6-Feb-18,86.89,91.48,85.25,91.33,67998564
7-Feb-18,90.49,91.77,89.2,89.61,41107592
8-Feb-18,89.71,89.88,84.76,85.01,55628657
9-Feb-18,86.3,88.93,83.83,88.18,63499065
12-Feb-18,88.74,89.78,87.93,89.13,35720341
13-Feb-18,88.93,90,87.8,89.83,26407702
14-Feb-18,88.51,90.99,88.41,90.81,34960912
15-Feb-18,91.21,92.72,90.62,92.66,27823866
16-Feb-18,92.45,93.5,91.8,92,30596919
20-Feb-18,91.48,93.06,91.01,92.72,30911725
21-Feb-18,92.98,93.36,91.49,91.49,26922503
22-Feb-18,92.05,92.73,91.36,91.73,24392753
23-Feb-18,93.6,94.07,92.36,94.06,26329226
26-Feb-18,94.4,95.45,94.25,95.42,30199846
27-Feb-18,95.74,95.84,94.2,94.2,25869119
28-Feb-18,94.84,95.7,93.63,93.77,31167338
1-Mar-18,93.99,94.57,91.84,92.85,37135561
2-Mar-18,91.58,93.15,90.86,93.05,32830389
5-Mar-18,92.34,94.27,92.26,93.64,23901578
6-Mar-18,94.34,94.49,92.94,93.32,22175776
7-Mar-18,93.16,93.94,92.43,93.86,26716127
8-Mar-18,94.27,95.1,93.76,94.43,25887828
9-Mar-18,95.29,96.54,95,96.54,36937254
12-Mar-18,96.5,97.21,96.04,96.77,25916247
13-Mar-18,97,97.24,93.97,94.41,35387817
14-Mar-18,95.12,95.41,93.5,93.85,32131981
15-Mar-18,93.53,94.58,92.83,94.18,27610998
