Date,Open,High,Low,Close,Volume
10-Jan-18,207.57,213.64,206.91,212.52,5951486
11-Jan-18,214.29,217.75,213.35,217.24,7659485
12-Jan-18,217.18,222.55,216,221.23,8199423
16-Jan-18,224.24,226.07,217.2,221.53,13516067
17-Jan-18,221,221.15,216.32,217.5,9123056
18-Jan-18,220.34,220.58,216.55,220.33,8225339
19-Jan-18,222.75,223.49,218.5,220.46,10548567
22-Jan-18,222,227.78,221.2,227.58,17703293
23-Jan-18,255.05,257.71,248.02,250.29,27705332
24-Jan-18,250.88,261.71,249.31,261.3,17352448
25-Jan-18,263,272.3,260.23,269.7,15336378
26-Jan-18,271.48,274.6,268.76,274.6,11021839
29-Jan-18,274.2,286.81,273.92,284.59,17529749
30-Jan-18,277,282.73,272.7,278.8,12482852
31-Jan-18,281.94,282.29,269.58,270.3,11695072
1-Feb-18,266.41,271.95,263.38,265.07,9669011
2-Feb-18,263,270.62,262.71,267.43,9123610
5-Feb-18,262,267.9,250.03,254.26,11896053
6-Feb-18,247.7,266.7,245,265.72,12595801
7-Feb-18,266.58,272.45,264.32,264.56,8981548
8-Feb-18,267.08,267.62,250,250.1,9306701
9-Feb-18,253.85,255.8,236.11,249.47,16906942
12-Feb-18,252.14,259.15,249,257.95,8534906
13-Feb-18,257.29,261.41,254.7,258.27,6855151
14-Feb-18,260.47,269.88,260.33,266,10971985
15-Feb-18,270.03,280.5,267.63,280.27,10759667
16-Feb-18,278.73,281.96,275.69,278.52,8312380
20-Feb-18,277.74,285.81,276.61,278.55,7769023
21-Feb-18,282.07,286.64,280.01,281.04,9371121
22-Feb-18,283.88,284.5,274.45,278.14,8891535
23-Feb-18,281,286,277.81,285.93,7301809
26-Feb-18,288.75,295.65,287.01,294.16,10268633
27-Feb-18,294.77,297.36,290.59,290.61,9416489
28-Feb-18,293.1,295.75,290.78,291.38,7653454
1-Mar-18,292.75,295.25,283.83,290.39,11932051
2-Mar-18,284.65,301.18,283.23,301.05,13345313
5-Mar-18,302.85,316.91,297.6,315,18986099
6-Mar-18,319.88,325.79,316.5,325.22,18525844
7-Mar-18,320,323.74,314.55,321.16,17132222
8-Mar-18,322.2,322.92,314.13,317,11340066
9-Mar-18,321.33,331.44,320.23,331.44,14500219
12-Mar-18,333.56,333.98,318.6,321.3,20265182
13-Mar-18,323.87,325.84,313.28,315.88,12917224
14-Mar-18,318.16,323.88,317.7,321.55,10475073
15-Mar-18,323.17,323.4,318.14,321.09,5642883
