,0,1
0,2018-03-18 20:08:57,"“Tonkin"" https://t.co/eW8LQbW5oa March 23, 2018!! @LHillexp #newmusic #Amazon #Music @hondazoom #Listen"
1,2018-03-18 20:08:53,"RT @marcosnietogen1: Si te gustó ""El asesino indeleble"", ""Sanders"" o ""El lamento de los inocentes"", no te pierdas la última novela de #Marc…"
2,2018-03-18 20:08:49,"International #giveaway, #win a #Kindle Fire 7, #Amazon #giftcard and a Sass &amp; Belle #unicorn #mirror, #totebag, lu… https://t.co/MRlQBkLzkb"
3,2018-03-18 20:08:49,"International #giveaway, #win a #Kindle Fire 7, #Amazon #giftcard and a Sass &amp; Belle #unicorn #mirror, #totebag, lu… https://t.co/KsDDUCjZuF"
4,2018-03-18 20:08:42,RT @giftcard1703: #Free #Gift #Code #Cards #Generator #Amazon #Ebay #Spotify #Itunes #Paypal #XBox #Itunes #Ebay #Visa #Psn #FreeGiftCardGe…
5,2018-03-18 20:08:39,Todos los Outlet de #Amazon.es https://t.co/6HNfehEKMm
6,2018-03-18 20:08:36,?????????????? ????? AKB48 ??????? ??? Position Ver. https://t.co/RfDwEfX0kd #AKB48 #Amazon #????
7,2018-03-18 20:08:36,????????AKB48 ???? SHOP?? 18/3/15?? ?124? A4??????? https://t.co/tAi785aRUK #AKB48 #Amazon #????
8,2018-03-18 20:08:34,"RT @marcosnietogen1: #leer #NovelaNegra

LOS CRÍMENES POST MORTEM https://t.co/5ewbX3nj5L                
EL ASESINO INDELEBLE https://t.co…"
9,2018-03-18 20:08:33,#Buy @ExplorerENT https://t.co/Jq9dpXJ1tZ via #Amazon @LHillexp @Mrdswagg @ValissaM #Music #Listen
10,2018-03-18 20:08:33,"There's a new #vampire in town!
https://t.co/tsRpgK8y2Q    #Amazon #kindle
https://t.co/zEr7L7zAPO    #Smashwords… https://t.co/3f2BvHuZPG"
11,2018-03-18 20:08:29,"""Ingram manages to put forward a book full of mystery, fantasy and bustling action"" via @MamiTales  - THE TEMPLE OF… https://t.co/hKDbJs501j"
12,2018-03-18 20:08:28,"RT @marcosnietogen1: #Shambhala, de @Martta_Martin 
https://t.co/2NPDdc0rwJ                           

Para muchos, ficción; para otros, r…"
13,2018-03-18 20:08:19,MASAKI YODA -make it face (Drum mix)- on #amazon https://t.co/ufqZVEcU9J #music #listen #Japan #information
14,2018-03-18 20:08:15,"RT @daisuke20111213: #???#???#????

??????????????????

????????????????“????”???????

Kindle
https://t.co/7rZxEVuGd4

????
https://t.co/6q…"
15,2018-03-18 20:08:12,"#RT
?For a chance to #WIN NEW RELEASE, CERIC in the Elemental's MC?

Will be awarded on the 30th of March.… https://t.co/JNpkFZEu9X"
16,2018-03-18 20:07:58,"RT @marcosnietogen1: Una de las obras más puntuadas en #Amazon ??, con 211 valoraciones de los lectores y una media de 4,2/5
 
81% de las o…"
17,2018-03-18 20:07:54,"RT @ukoddball: Damn!

WTF is going on with this hat?!?!?

#hat #hats #amazon #golfing #fashion https://t.co/IJphYrzJRr"
18,2018-03-18 20:07:49,"Fear the wrath of a #vampire!
https://t.co/5dnMoKXK5n     #Amazon #kindle
https://t.co/n98e9MXKKm     #Smashwords… https://t.co/MboF46EX06"
19,2018-03-18 20:07:44,"RT @rosimarrojas007: i #free $50 visa #gift card in this website.  #free gift card #codes #gift #code #amazon, #steam, #itune, #xbox, #ebay…"
20,2018-03-18 20:07:44,#amazon #facts https://t.co/Omb3YFLULo
21,2018-03-18 20:07:42,"RT @heyitsmejoy: All my books are available on #kindle #Amazon #romance #romcom #rocknroll #sports #humor
https://t.co/UVEWo9OJ7V"
22,2018-03-18 20:07:37,RT @CCOOMadrid: La plantilla de #Amazon irá a la huelga por sus derechos @AmazonEnLucha https://t.co/ETQxacwrku
23,2018-03-18 20:07:36,Hey look at: https://t.co/a8tVSQx1Jy #Amazon
24,2018-03-18 20:07:35,"?Lo más #vendido de #Amazon para #Bebé hoy.Pincha aquí???? para ver #precio? #compras ?
          https://t.co/dsfyGx5Kmv"
25,2018-03-18 20:07:20,"RT @EricJLagarrigue: TU LUZ ENCIENDE MI ALMA, de María Lorena Di Rado @Loly1530 
https://t.co/9mQYFYYzMs     
#amazon #romance #lecturareco…"
26,2018-03-18 20:07:18,Consigue nuestro primer disco en las plataformas digitales: #Beatport #Amazon https://t.co/IiosVSZuEz
27,2018-03-18 20:07:12,"RT @brazzerxxvide: limited access    
 Free Brazzers Premium Account : https://t.co/14YcWs0SAC
 / 
. #paypig #SkypeShow #Skype #Amazon #Cum…"
28,2018-03-18 20:07:05,RT @maxprofitreview: This opportunity is closing tonight and the launch price will be off. Would be a shame to miss it. #amazon #AmazonGive…
29,2018-03-18 20:07:00,"Do you dress up your #dog in doggie cloths?

#dogs #dogtreats #dogchews #allnatural #madeintheusa #rescuedog… https://t.co/zMwTqAqBtY"
30,2018-03-18 20:06:43,"??????? (??? - May 30, 2008) ? '1???10???? ?????????' ? Amazon ?????? https://t.co/vTkJuxUqPV #books #amazon"
31,2018-03-18 20:06:40,"RT @Fcsnva: An #AlternateHistory of the #VietnamWar!
https://t.co/SuGVsGjwJU      #Amazon  #kindle
https://t.co/Z9JsbUn7er       #Smashword…"
32,2018-03-18 20:06:39,"#Sunday #Read The Art of Raising Hell by #Author Thomas Lopinski 
@ThomasLopinski also 
@ https://t.co/4z6CWpQfjm… https://t.co/QD2UZuOLZO"
33,2018-03-18 20:06:38,"An #AlternateHistory of the #VietnamWar!
https://t.co/SuGVsGjwJU      #Amazon  #kindle
https://t.co/Z9JsbUn7er… https://t.co/rYmkrAcDjv"
34,2018-03-18 20:06:26,"RT @NicoJGenes: https://t.co/d5zChDmETq

#magneticreverie #reveriegirl #thereverieseries #romance #bisexual #lesfic #erotic #suspense #drea…"
35,2018-03-18 20:06:24,The Complete IN THE SHADOW OF THE BLACK SUN #trilogy at #Amazon. All 3 books for only $6.99! #EpicFantasy https://t.co/TuuodqH3H1 #RPG
36,2018-03-18 20:06:21,"RT @EricJLagarrigue: El hombre-lobo respira a tu lado, de @DiegoGAndreu en #Amazon
https://t.co/Sfw8WPJiBu  
La segunda noche de luna llena…"
37,2018-03-18 20:06:18,"RT @HiuBeatrice: Spannender Lesestoff gesucht? Band 1 und 2 der Kysano-Saga https://t.co/P2nqvNbT1p
#ebooks #books #kindle #KindleUnlimted…"
38,2018-03-18 20:06:11,https://t.co/piWyDfBbo3 Nuevos datos destapan otro acierto de Jeff Bezos #Amazon #PrimeVideo #AmazonPrime #Netflix
39,2018-03-18 20:06:02,"Worth reading ""the four - the hidden DNA of #amazon #google #facebook #apple"" from Scott Galloway #tech… https://t.co/2IzG4DAYIA"
40,2018-03-18 20:06:01,"Walmart Expands Same-Day Delivery, Looks to Match Amazon https://t.co/TE7hGDUCXZ #Walmart #WMT #Amazon #AMZN… https://t.co/oqKIa96PIq"
41,2018-03-18 20:06:00,"How to Break Your #Amazon Prime Addiction
#ecommerce #shopping https://t.co/QTVvj5Dapt"
42,2018-03-18 20:05:55,"RT @EricJLagarrigue: El hombre-lobo respira a tu lado, de @DiegoGAndreu en #Amazon
https://t.co/Sfw8WPJiBu  
La segunda noche de luna llena…"
43,2018-03-18 20:05:43,"RT @CynergiCleaning: Take Part in Freebie Friday, #WIN a £25 Amazon gift card and treat yourself on us!? To ENTER, all you need to do is si…"
44,2018-03-18 20:05:35,#LIVE #show #hot #it #iTunes #amazon #napster #spotify #googlemusic #applemusic #reggaeton #R&amp;B #hiphop #genre... https://t.co/WFIbQnnXX2
45,2018-03-18 20:05:31,"RT @Oldbrookender: Best Selling Action Adventure Series Set in Roman Britain
Free on Kindle Unlimited
#iartg #histfic #Rome
#amazon #bestse…"
46,2018-03-18 20:05:28,"RT @MisterSalesman: My 5 Star Review, Broken Pieces by Martha Perez https://t.co/oSbWHvvZvK @marthaperez0609 #amazon #books #childabuse #Am…"
47,2018-03-18 20:05:27,"#Author Stacy WIse’s 2nd novel, 
MAYBE SOMEONE LIKE YOU
avail for pre-order @ #Amazon
https://t.co/NR8M4vNhm7… https://t.co/IXrRhlNcTI"
48,2018-03-18 20:05:27,"RT @NicoJGenes: https://t.co/d5zChDmETq

#magneticreverie #reveriegirl #thereverieseries #romance #bisexual #lesfic #erotic #suspense #drea…"
49,2018-03-18 20:05:26,"RT @pcevvk: Que fácil pillar un regalo para tu padre en #Amazon 
Pero no olvides que sus trabajadorxs están en lucha! ?
Sé solidario! #díad…"
50,2018-03-18 20:05:19,"RT @NSFC: https://t.co/wI5BCM5CQL #repost #retweet #share #viral #grateful 
#blackgirlmagic #blackexcellence #myblackisbeautiful #thankful…"
51,2018-03-18 20:05:05,RT @almagabriel_: Gracias @DeliDlia  por tu reseña. Verdaderamente hay muchas Laias por el mundo. Escribe tu reseña tambien en #Amazon si l…
52,2018-03-18 20:05:04,"""This is one of the best books that I have read. I was unable to put it down."" - L.Hayden, 5-star #Amazon review.… https://t.co/HUNUoe1nPX"
53,2018-03-18 20:04:58,"RT @KathleenHarrym1: #RT #TheOtherSideOfTheLookingGlass
This is an extraordinary novel, very well written and a pleasure to read
So good yo…"
54,2018-03-18 20:04:56,Al 8 abril BRUS RUBIO #amazon #amazonia #arte #art en #Lima #Peru. Info: https://t.co/8OilQusYaP #BrusRubio https://t.co/lc364q8vcd
55,2018-03-18 20:04:47,"#Sunday #Read #author Betsy J Green's
Way Back When: Santa Barbara in 1916: Tales of everyday life in Santa Barbara… https://t.co/a4jgTywNbW"
56,2018-03-18 20:04:43,"RT @LeeAnn_Hartford: Available now on #Amazon and #Kindle
Rambled Thoughts by Lee'Ann Imel-Hartford https://t.co/DQKm9TZ8CP"
57,2018-03-18 20:04:41,RT @CCOOMadrid: La plantilla de #Amazon irá a la huelga por sus derechos @AmazonEnLucha https://t.co/ETQxacwrku
58,2018-03-18 20:04:41,"RT @giftcard1703: Hello Friend I Got #Free #Amazon $50 #Gift #Code #Cards Using this link
#FreeAmazonGiftCards #GiftCards #GiftCode #Amazon…"
59,2018-03-18 20:04:36,"RT @Oldbrookender: Best Selling Action Adventure Series Set in Roman Britain
Free on Kindle Unlimited
#iartg #histfic #Rome
#amazon #bestse…"
60,2018-03-18 20:04:35,"RT @ADVANCEBOOKS777: AUTORES INDIE A.B. Recomienda leer LA AVENIDA DE LOS GIGANTES.
Llega la primera novela negra de la autora de Un regalo…"
61,2018-03-18 20:04:30,What’s up loser teachers?and counselors. I need the perfect uniform for class. Don’t you want your teacher’s pet?to… https://t.co/P0UpDARsId
62,2018-03-18 20:04:29,?Inhale Chocolate. Exhale Negativity...? #tshirts Multiple colors! Prime Eligible! https://t.co/TSG7uYRXva #amazon https://t.co/u7lLjpHtfw
63,2018-03-18 20:04:22,"RT @SolTaylorRdL: NO CERRÉIS MI TUMBA
7ª entrega de la saga del agente del FBI #EthanBush 
EL CASO MÁS EXTRAÑO DE LA CARRERA DEL AGENTE ETH…"
64,2018-03-18 20:04:11,RT @SPARTisparti: ¡APRENDIENDO A #VIVIR! #Saga 8 días en #Roma @torrico_1 Aprovecha las fiestas para leer. #Amazon #España #Italia https://…
65,2018-03-18 20:04:03,?Amazon?Echo - ????????? https://t.co/hSgRyeQnuf #Amazon #???? #Echo #?????????
66,2018-03-18 20:03:55,RT @JRodneyPage: #BookClubAmazon #AmazonKindle #AmazonPrime #KindleeBooks #KindleBooks #KindleTouch #AmazonLikes #KindleFire #KDPSelect #Ki…
67,2018-03-18 20:03:30,"E' fantastico questo Kindle c'è poco da aggiungere. &lt;3
 https://t.co/h8gGwM12nm 
#Amazon #KindleOasis #Kindle #Ereader"
68,2018-03-18 20:03:25,RT @zapitofficial: It's time we say no to fake #productreviews! Join us in our #revolution to change the experience of #onlineshopping! Che…
69,2018-03-18 20:03:23,RT @zapitofficial: #Earn a 50% #Bonus on your invest by investing in our #revolutionary #ICO! #TokenSale is #live! Visit https://t.co/vBr49…
70,2018-03-18 20:03:23,"RT @HiuBeatrice: Spannender Lesestoff gesucht? Band 1 und 2 der Kysano-Saga https://t.co/P2nqvNbT1p
#ebooks #books #kindle #KindleUnlimted…"
71,2018-03-18 20:03:21,"Amazing bizarre game experience with rough BDSM  ...
?? https://t.co/WLECuvzXwl ??
 #ageplay #latexcatsuit #Findom… https://t.co/4ZlYmHeHlo"
72,2018-03-18 20:03:20,"RT @zapitofficial: Zapit builds trust between #Amazon #Sellers, #Consumers &amp; Product Evaluators. Learn more about the most exciting #ICO! #…"
73,2018-03-18 20:03:19,"RT @nvmmartinez: Todas las novelas de @SandraEstevezC en #Amazon: https://t.co/JGvnlD7AQk
 #Romántica #Suspense #Acción ¡Ve a por ellas! ht…"
74,2018-03-18 20:03:18,"RT @zapitofficial: Transparency at its best!
#Zapit allows #Amazon shoppers to go through genuine #productreviews to make a wise decision a…"
75,2018-03-18 20:03:13,"RT @zapitofficial: #Review, earn &amp; grow with #Zapit!
An #ICO that eliminates fake product reviews and creates a win win situation for every…"
76,2018-03-18 20:03:10,RT @zapitofficial: Fake #reviews cost #sellers millions of dollars each year. #Zapit is using #Blockchain technology to bring transparency…
77,2018-03-18 20:03:04,"RT @mediashopTOK: Office 2016 Professional PLUS ???????
https://t.co/41MnNkRz3c
#????
#Amazon
#????
#????"
78,2018-03-18 20:03:03,"RT @mediashopTOK: Office 2016 Professional PLUS ???????
https://t.co/41MnNkRz3c
#????
#Amazon
#????
#????"
79,2018-03-18 20:02:59,"DVD   THE GIANT KILLER documentary of Richard Flaherty, who went to Vietnam as shortest American soldier &amp; became a… https://t.co/X9QYJ99hET"
80,2018-03-18 20:02:56,"RT @marcdcrepeaux: See if a #Letter is to You...#Write your own.
https://t.co/sg20QpI2BO
#revengeinwords #lettersnever #quotes #reading #wr…"
81,2018-03-18 20:02:49,"RT @AuthorMyers: Go check out my novel on Amazon! Available in ebook and paperback! Link ??
https://t.co/sARnLB4IZi
#fiction #horror #YA #b…"
82,2018-03-18 20:02:46,???????????????????????????????????????????????????????????? https://t.co/zJzWNQbS7s #amazon
83,2018-03-18 20:02:41,"? Bombazo ?
? Garmin #Forerunner 35 (Reloj #GPS con monitor de frecuencia cardiaca en la muñeca, monitor de activid… https://t.co/rX86etH9MP"
84,2018-03-18 20:02:41,"$12.59 #Amazon Today L'il Critters #SuperMario Brothers Complete Multivitamin Gummies, 190 Count #Kid #Supplements… https://t.co/7gm3GktCPR"
85,2018-03-18 20:02:28,#activitiesforkids #amwriting #newbook #amazon #momlife #teacherlife #authorlife https://t.co/3aV8GPaonQ https://t.co/A5f7qy448s
86,2018-03-18 20:02:22,"See if a #Letter is to You...#Write your own.
https://t.co/sg20QpI2BO
#revengeinwords #lettersnever #quotes… https://t.co/kA5wwpPdBF"
87,2018-03-18 20:02:08,"RT @Jnassise: New Orleans nearly killed him, but now Malcolm Chance is off to Los Angeles in a desperate attempt to save those he loves in…"
88,2018-03-18 20:02:07,"RT @NSFC: https://t.co/wI5BCM5CQL #repost #retweet #share #viral #grateful 
#blackgirlmagic #blackexcellence #myblackisbeautiful #thankful…"
89,2018-03-18 20:02:04,"99p  Don't miss out!
'Wickedly witty, gloriously sensual and wonderfully compelling'
Julie~Goodreads
??  THE TROUBL… https://t.co/wB15ZWNEu2"
90,2018-03-18 20:01:29,"#Bitcoin is now worth $7473.05, increase your #gains by a further 10% when you buy #Amazon #GiftCard from @giftbac"
91,2018-03-18 20:01:04,RT @ektapatel2508: #Free #Amazon #Ebay #Spotify #Walmart #Paypal #Itunes #XBox #GooglePlay #Gift #Code #Cards #Generator #FreeGiftCardGener…
92,2018-03-18 20:01:03,"RT @Libreria_Mundo: Una novela adictiva, un viaje mágico hacia el interior de las mujeres que nos habitan ??https://t.co/B3PM5jMRhH ?? #Ama…"
93,2018-03-18 20:00:52,"#entertowin March #Giveaway 4 @GGG_by_Lia 

1 #winner will choose 1 #prize  ? from Choice of 3: 
1. #AndroidTvBox 2… https://t.co/MG7I3wP2RU"
94,2018-03-18 20:00:51,Spread the Word! #Win #FREE #Amazon #KindleFire #Books from Author @Austin_Dragon https://t.co/j5F18pXbG9
95,2018-03-18 20:00:51,Patech ????????? 12V??????????? 8000mAh ?????????  https://t.co/9ZxKsMM0gT  #amazon #???? #??????
96,2018-03-18 20:00:47,RT @giftcard1703: #Free #Gift #Code #Cards #Generator #Amazon #Ebay #Spotify #Itunes #Paypal #XBox #Itunes #Ebay #Visa #Psn #FreeGiftCardGe…
97,2018-03-18 20:00:44,RT @SolTaylorRdL: #Fantasía y #terror se alternan en una #historia con un toque #clásico que nos recuerda que #magia y #naturaleza conviven…
98,2018-03-18 20:00:43,Shop #iBooks (Apple) Including Genesis: Book of Beginnings: Journey Through the Bible Book 1 Also Available @… https://t.co/he6tvnqbcH
99,2018-03-18 20:00:42,"En un mundo donde la imaginación no tiene límites, las emociones son más intensas #Amazon https://t.co/LVi0bH56Nd #Gratis #KindleUnlimited"
100,2018-03-18 20:00:39,"Call of Elespen - the epic conclusion to the Keepers of the Wellsprings Series
A clean, epic sword and sorcery… https://t.co/7i9ItxHQLi"
101,2018-03-18 20:00:38,Aux aaaaaaaarrmee...! Si nous gagnons demain je porterai un slip!#OMOL #AJamaisLesPremiers #petition #OLSMC #FRAANG… https://t.co/WD6PcLvg8p
