,0,1
0,2018-03-18 20:07:03,"RT @neko_bus03: MacBook Pro??????????

? MacBook Pro 2017??????????????
?????:????&amp;??????
???????????????????
?????:1?
???:3/31(?)???

#???…"
1,2018-03-18 20:06:17,@AppleChinook #apple #battery was told twice at your store that my 5s battery would only cost $35 so I booked it only to be charged $100 :(
2,2018-03-18 20:06:14,"iPhone??????????

?????????

#iphone????
#Apple 
#???????????????????"
3,2018-03-18 20:06:02,"Worth reading ""the four - the hidden DNA of #amazon #google #facebook #apple"" from Scott Galloway #tech… https://t.co/2IzG4DAYIA"
4,2018-03-18 20:05:24,"Does anywhere do same/next day screen repairs for MacBook Pro (Retina) around #Solihull or #Birmingham?

?????????… https://t.co/rSJPLA1UbX"
5,2018-03-18 20:05:11,Present i futur del desenvolupament a Apple amb Berta Devant – Programa 351 https://t.co/k9ZeupW476 #apple… https://t.co/3NzE8ww7BN
6,2018-03-18 20:05:08,FYI: La respuesta de #Apple a #Netflix: sus nuevas #Series propias https://t.co/BWpU0IT5mL https://t.co/HqU2rXs2TE
7,2018-03-18 20:05:08,Wolfe is on my list of MUST READ AUTHORS STORIES UNTOLD #rt  #G1 #breaking #nowplaying #giveaway #apple #twitter https://t.co/LsS4CTfXxG
8,2018-03-18 20:04:29,Snack sized Apple Pie Tassies make a great Easter treat https://t.co/1oVw9G7GbK #recipe #Easter #apple https://t.co/KNWeyGRMVw
9,2018-03-18 20:04:24,?18/3/18?iPhone/iPad?????????????????????????????????????????????????Agent A?????? https://t.co/YzQ9lS4C4B… https://t.co/5d1H0tegm6
10,2018-03-18 20:04:20,"RT @o_i_l_i_v_e: Please help me, RT and Fav? Svp aidez moi en RT et Fav
#iPhoneX #Apple #GayIsTheWay https://t.co/MMOjnjDiPw"
11,2018-03-18 20:03:25,"RT @_iblobl: #Early #learner #addition for #kids! 

https://t.co/M5zfqpWCIG

#Maths #Math #Mathematics #Play #Learn #Teach #Teacher #School…"
12,2018-03-18 20:02:42,RT @onemediajp: ??????????????…??????????????????#????????? #Apple https://t.co/hdEihCbYMS
13,2018-03-18 20:02:34,"Smartphone 4' #Apple #Iphone SE reconditionné à neuf - 64Go, couleur or https://t.co/4QmIuS2Sxk https://t.co/7yyRWBZ9uy"
14,2018-03-18 20:02:24,"#Early #learner #addition for #kids! 

https://t.co/M5zfqpWCIG

#Maths #Math #Mathematics #Play #Learn #Teach… https://t.co/BMKIyc0W9C"
15,2018-03-18 20:02:18,I bought an #apple #homepod this morning intending to use it with this week's conference. Can't set it up. Can't us… https://t.co/V7nUK5Rfnw
16,2018-03-18 20:02:18,#iphone #iphonex #love #instagood #ipad #iphone6plus #mac #macbook #iphones #lux #luxury #apple… https://t.co/e5ojODuEGt
17,2018-03-18 20:02:05,Apple Seeds Sixth Beta of iOS 11.3 to Developers [Update: Public Beta Available] https://t.co/WlfQPCFHcK #iOS11… https://t.co/PHyXLa8Wyp
18,2018-03-18 20:02:03,Review: RAVPower HyperAir 7.5-Watt Wireless Chargers https://t.co/jvajHu0M2z #iPhone8 #iPhoneX #Apple https://t.co/hMy4pisSa7
