,0,1
0,2018-03-18 17:49:47,Hey @BofA_Help - A letter a day while I was out of town telling me you had an old email on file seems quite wastefu… https://t.co/klICEzhwh9
1,2018-03-18 17:15:06,Why Banks Are Finally Talking Crypto In Filings: Marc Hochstein is the managing editor of CoinDesk.  The following… https://t.co/2DtueHmnyY
2,2018-03-18 16:02:00,RT @chulachuya: #MotivationMonday #FirstRace #BankofAmerica #ShamrockShuffle #Chicago #TrickoTreatTrot #TurkeyTrot #TheMusicRun #LAmarathon…
3,2018-03-18 15:37:18,"There were 2women in our Finance program that others would joke ""are in a gang"" and they'd kept to themselves/never… https://t.co/C5LLN8NiGa"
4,2018-03-18 13:54:32,380 usd to euro  #bankofamerica stocks
5,2018-03-18 09:44:42,"RT @ElSarmiento7: The #Crime of the #Century!
https://t.co/zrONeWkbO1 
#banks #corporations #crime #fraud #politicians #liars #thieves #COR…"
6,2018-03-18 09:25:29,RT @BhamGlen: #BankofAmerica  I just sat on hold for 1 hour 50 minutes to talk to customer service abt a fraud issue. No one ever picked up…
7,2018-03-18 09:13:34,"RT @ElSarmiento7: The #Crime of the #Century!
https://t.co/zrONeWkbO1 
#banks #corporations #crime #fraud #politicians #liars #thieves #COR…"
8,2018-03-18 09:08:59,"RT @ElSarmiento7: The #Crime of the #Century!
https://t.co/zrONeWkbO1 
#banks #corporations #crime #fraud #politicians #liars #thieves #COR…"
9,2018-03-18 09:03:43,"RT @ElSarmiento7: The #Crime of the #Century!
https://t.co/zrONeWkbO1 
#banks #corporations #crime #fraud #politicians #liars #thieves #COR…"
10,2018-03-18 09:01:53,"RT @ElSarmiento7: The #Crime of the #Century!
https://t.co/zrONeWkbO1 
#banks #corporations #crime #fraud #politicians #liars #thieves #COR…"
11,2018-03-18 08:46:08,"RT @ElSarmiento7: The #Crime of the #Century!
https://t.co/zrONeWkbO1 
#banks #corporations #crime #fraud #politicians #liars #thieves #COR…"
12,2018-03-18 06:18:26,"RT @ridesharepay: Drivers - don’t back down and cower, retweet, tweet your leaders, your local businesses, your new stations.  Uber used to…"
13,2018-03-18 02:29:01,#BankofAmerica was able to stop a victim of #Craigslist #overpayment #scam. Victim was given a $3880 check for furn… https://t.co/dnjx620n4e
14,2018-03-18 00:42:18,"The #Crime of the #Century!
https://t.co/zrONeWkbO1 
#banks #corporations #crime #fraud #politicians #liars… https://t.co/iH7VLxmfaE"
15,2018-03-17 23:37:50,BofA: Quick “V Shaped” Rebounds Lead To Another $VIX Spike via @ValueWalk https://t.co/zHCvZF81rk #bankofamerica
16,2018-03-17 22:40:09,RT @pamcgabriel: One of the reasons why I think @BankofAmerica is one of the best places to work is because we invest in our people! Great…
17,2018-03-17 22:18:05,One of the reasons why I think @BankofAmerica is one of the best places to work is because we invest in our people!… https://t.co/Hz9GirYzym
18,2018-03-17 20:06:56,#bankofamerica Your customer service is a joke.
19,2018-03-17 20:05:14,when #bankofamerica cancels the wrong bank card and then won't fix the problem even after 30 min on the phone with… https://t.co/dqpTtxy6hH
20,2018-03-17 17:18:50,#boa #bankofamerica did the right thing and dissolved my parents debt thank you
21,2018-03-17 17:12:06,#bankofamerica @BofA_News @BankofAmerica branch on Bay Ridge needs to open drive tru on Sat. Only 13 spaces for par… https://t.co/O9kHyyZZ94
22,2018-03-17 16:28:12,"RT @gsf_abgsyconsul: #BankOfAmerica y #JPMorgan, entre los bancos más expuestos al #TLCAN - https://t.co/7I1VD03NAL https://t.co/HDoIKDubFJ"
23,2018-03-17 15:43:46,"@BofA_Help If you want to lose your money, bank with BOA, they’ll be glad to steal it! Oh they lie and get made whe… https://t.co/sN1zr7DJOb"
24,2018-03-17 15:40:42,.@BankofAmerica CEO Brian T. Moynihan: https://t.co/yJFM4l7p0y  View more CEO and Company profiles at… https://t.co/O3bJEp1Kmm
25,2018-03-17 13:27:53,The BOA on Miramar Parkway has to be the worst!  One teller is clearly not enough on Saturday.  You need someone to… https://t.co/adW49eyJQI
26,2018-03-17 12:17:59,RT @prman1: Tune in to WXYZ's Spotlight on the News this Sunday with Bankers Matt Elliott &amp; Tiffany Douglas #BankofAmerica
27,2018-03-17 12:02:24,RT @prman1: Tune in to WXYZ's Spotlight on the News this Sunday with Bankers Matt Elliott &amp; Tiffany Douglas #BankofAmerica
28,2018-03-17 09:50:04,"RT @HITCnews: People News - Bank of America, Point72 Asset Management, Standard Chartered #bankofamerica #point72assetmanagement https://t.…"
29,2018-03-17 09:50:03,"People News - Bank of America, Point72 Asset Management, Standard Chartered #bankofamerica #point72assetmanagement https://t.co/o6nRErfFpZ"
30,2018-03-17 06:11:35,"Echoing SEC, BofA Says Cryptocurrencies Are A Risk Factor https://t.co/biWiWRCVrS #bankofamerica"
31,2018-03-17 05:43:32,RT @HedgeBz: Bank of America's CEO Brian Moynihan made 250 times the pay of median worker $BAC https://t.co/R8R3rfN6PW #bankofamerica
32,2018-03-17 05:40:06,Bank of America's CEO Brian Moynihan made 250 times the pay of median worker $BAC https://t.co/R8R3rfN6PW #bankofamerica
33,2018-03-17 01:53:18,#bankofamerica #BoA  Worst bank in history. Daughters card compromised $40.01 two separate occasions. Followed prop… https://t.co/zvnsowagHA
34,2018-03-17 01:20:06,Man sought for #Camden #bank #robbery https://t.co/q9isEZb3oN #BankofAmerica https://t.co/5Ggm6rBny5
35,2018-03-17 00:20:04,@lindastanley33 @DiscoveryMuseum  sneak peek of new #bankofamerica exhibit.  Opening to the public tomorrow. Check… https://t.co/nrCP7mN0IP
36,2018-03-16 22:38:25,@BankofAmerica = Fraud #Racist #Sexist I asked for a supervisor. I’ve been refused! Recorded the ordeal!… https://t.co/g2S5QBRBRJ
37,2018-03-16 22:32:18,"I will never pay @BankofAmerica one thin dime!!! Rotten, disgusting, lying, cheating, conniving #Scum… https://t.co/d1MuT4I528"
38,2018-03-16 22:26:26,"@BankofAmerica has decided that a fraudulent account opened in my name is mine; however, the fraud rep keeps callin… https://t.co/iPi3Enu40w"
39,2018-03-16 22:22:25,Robert Lee of Arizona @BankofAmerica referred to me as a woman or female 10 times although I kept telling him I’m a… https://t.co/b4rFw6FAor
40,2018-03-16 20:36:11,Tune in to WXYZ's Spotlight on the News this Sunday with Bankers Matt Elliott &amp; Tiffany Douglas #BankofAmerica
41,2018-03-16 20:19:41,Worst customer service ever.   Same on you #bankofamerica    How do you stay in business by treating your customers so poorly.
42,2018-03-16 19:24:20,Come and have cold refreshing #moscowmule at #grandtasting with @sgwinespirits at 23rd annual Museum of Science Dis… https://t.co/JdJD7ysZM6
43,2018-03-16 17:56:29,WORST banking experiences yet. Started with wanting to transfer fund to pay. Couldn’t do that cause the limit is $2… https://t.co/i81zy997D5
44,2018-03-16 17:42:24,Bank of America is telling me it is mine responsibly to make sure I received the right amount of money not theirs t… https://t.co/PSmQgggmda
45,2018-03-16 17:14:13,"Now don’t have enough money to pay for kids camp because BOA shorted me money and can’t own up to it@bankofamerica
#bankofamerica #BoA"
46,2018-03-16 16:31:41,"So, Bank of America is sending me a new credit card, because of potential fraud at a ""non-dislosed merchant."" That'… https://t.co/qQVeyLlojy"
47,2018-03-16 15:52:38,"Bank of Ameri?a ????????? ???????? ???????????? ???????????.

#??????? #bitcoin #???????????? #btc #????????… https://t.co/AEVJx5laD3"
48,2018-03-16 15:41:36,"#BankofAmerica Worst Bank on the Planet, outrageous fees, and ppl what to relax banking regulations? #DoddFrankRollback"
49,2018-03-16 13:00:07,Stage 2 continuation breakout still possible. $bac #stageanalysis #bankofamerica #trading #market #money... https://t.co/74UhqJEnvC
50,2018-03-16 12:45:06,Very upsetting @BankofAmerica cant close on time. My client is now homeless and at risk of losing her deposit becau… https://t.co/NxMJEdKKlJ
51,2018-03-16 12:30:29,RT @MBATubeTM: #likeandshare VIDEO: #MBA students of @SimonSchool share their experiences of being accepted for an internship position at c…
52,2018-03-16 12:08:32,#Retweet if you have been to the #Carolina #Panthers #BankOfAmerica #Stadium #NFL https://t.co/34LOPLj0db
53,2018-03-16 11:41:58,"RT @Project2049: Zhejian #Geely Holding owns other car makers including Sweden’s #Volvo Cars, London’s LEVC, &amp; its Geely Automobile Holding…"
54,2018-03-16 11:11:41,RT @MBATubeTM: #likeandshare VIDEO: #MBA students of @SimonSchool share their experiences of being accepted for an internship position at c…
55,2018-03-16 11:00:50,#likeandshare VIDEO: #MBA students of @SimonSchool share their experiences of being accepted for an internship posi… https://t.co/PneV1zWl4X
56,2018-03-16 10:09:25,Another Successful @VMwareEducation class delivered #Hyderabad #bankofamerica #Wonderful #Audience https://t.co/mDme6XqkT0
57,2018-03-16 06:19:02,"RT @Mary_Wink_BAC: On March 22nd, you will have 24 hours to give where your heart is!  To support United Way of Northern Nevada, go to http…"
58,2018-03-16 03:51:55,"#bankofamerica 
I am posting the photo here for all people to see https://t.co/U59ws7BbMC"
59,2018-03-16 03:48:20,"2/3- The problem here is that if you have autopay/in hurry, you will most probably won't pay attention to the date… https://t.co/HtxO0ndHdM"
60,2018-03-16 03:44:16,1/3 User interface design trick to make money by my favorite and still crooked #bankofamerica: In its credit card p… https://t.co/sZ7zDS4hXc
61,2018-03-16 03:38:07,#bankofamerica  this is a shameful trick to make a bit more money on a few more days on people who carry a balance.… https://t.co/S7V4fReov8
62,2018-03-16 03:36:13,#bankofamerica  Every young designer of a computer interface knows that the payment/delivery date should be the sam… https://t.co/6YcCPvqjtL
63,2018-03-16 02:39:52,#bankofamerica a fucking joke to complete a simple task. Going to move on and problem still not resolved. https://t.co/cyV7tvviL8
64,2018-03-16 02:16:10,@BankofAmerica #bankofamerica  had a totally frustrating experience today.  The staff was wonderful.  Your bank pol… https://t.co/eowgQaz3TD
65,2018-03-16 00:21:10,$NXTD has #discover #bankofamerica $PYPL $SQ #gramin $GRMN   as their customers this $2 stock can take off https://t.co/kr7sCEXdkO
66,2018-03-16 00:03:25,"RT @Mary_Wink_BAC: On March 22nd, you will have 24 hours to give where your heart is!  To support United Way of Northern Nevada, go to http…"
67,2018-03-16 00:02:48,"On March 22nd, you will have 24 hours to give where your heart is!  To support United Way of Northern Nevada, go to… https://t.co/WqozqnXJly"
68,2018-03-15 23:34:06,"#my1stcreditcard came with a free Papa Johns medium pizza. As a starving and struggling college sophomore, hell yea… https://t.co/DMzQy0CzLc"
69,2018-03-15 22:26:44,Bank of America's CEO Brian Moynihan made 250 times the pay of median worker $BAC https://t.co/R8R3rfN6PW #bankofamerica
70,2018-03-15 21:49:33,#bankofamerica is the WORST!!! #thatisall #frustrated
71,2018-03-15 18:40:22,"#bankofamerica 7 employees, 6 visiting, 1 working the counter... ?"
72,2018-03-15 18:36:06,Estée Lauder (EL) Presents At #BankOfAmerica Merrill Lynch Consumer &amp; Retail Technology Conference - S... - https://t.co/BtIwjfuWo0
73,2018-03-15 18:24:23,Still waiting for that call from @AndreiZimiles of @Doctor … https://t.co/j19M47lPJR … #CreditCardFraud … #BankOfAmerica …
74,2018-03-15 18:08:28,Jack In The Box (JACK) Presents At #BankOfAmerica Merrill Lynch Consumer &amp; Retail Technology Conferenc... - https://t.co/Wq47Lin1SQ
75,2018-03-15 17:29:48,#bankOfAmerica #boa https://t.co/0NZ7PMXLQN
76,2018-03-15 17:27:37,"Echoing SEC, BofA Says Cryptocurrencies Are A Risk Factor https://t.co/biWiWRCVrS #bankofamerica"
77,2018-03-15 17:08:10,https://t.co/mBktYOjKmr   #marketing #marketingconsultant #ThursdayThoughts  #ThursdayThought #bankofamerica #loans… https://t.co/5QFN4u9Fh0
78,2018-03-15 14:51:22,Bank of america is so shitty #bankofamerica #fu #boa #convicts
79,2018-03-15 11:56:29,BofA: Quick “V Shaped” Rebounds Lead To Another $VIX Spike via @ValueWalk https://t.co/zHCvZF81rk #bankofamerica
80,2018-03-15 06:13:42,Ten years fighting #bankofamerica come out the other side w/perfect credit &amp; baller @chase #chasesapphirereserve… https://t.co/cKctMQOKAb
81,2018-03-15 04:08:14,Some companies like @BankofAmerica respond almost instantly to questions.  Other companies like @Bravo_Italian don'… https://t.co/r25RTBmno0
82,2018-03-15 03:15:02,RT @HedgeBz: Bank of America's CEO Brian Moynihan made 250 times the pay of median worker $BAC https://t.co/R8R3rfN6PW #bankofamerica
