,0,1
0,2018-03-18 08:06:20,"RT @TomoboxHQ: Does #BofA now stand for #Bank of #Amazon. If #Banks are slow to role out  #tech, Amazon is coming to eat their lunch.
#AI #…"
1,2018-03-17 19:28:25,#Anglo Saxon are trash breed. Comanche cleansed the gene. #anime #Comanche #donk #bofa #killallbrits #club… https://t.co/rVqZUaA55y
2,2018-03-17 08:12:35,"RT @ThabangMoloatsi: Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is ju…"
3,2018-03-17 06:59:00,#JPMorgan Joins #BofA in Quiet Warning: #Crypto Could Disrupt Banks - #Bloomberg #investorseurope #stocks  https://t.co/s7qRGnUlve
4,2018-03-17 06:16:10,@rohmontgomery #BOFA ?
5,2018-03-17 06:00:18,"RT @ThabangMoloatsi: Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is ju…"
6,2018-03-17 01:54:06,"RT @ThabangMoloatsi: Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is ju…"
7,2018-03-16 23:44:48,Blown away by @BankofAmerica's ttl lack of svc for Small Biz accts. Holding 4 3rd time in 2 days 2 get an answer 2… https://t.co/wIjFNSR88K
8,2018-03-16 20:55:28,#TMobile #BofA both of you guys need to communicate with one another because this is fucking ridiculous! Something… https://t.co/gw8wbvPHU0
9,2018-03-16 19:09:54,So I call #BofA to get corporates number to talk about a policy complaint. The girl said we don’t have the corporat… https://t.co/i0kpga2xow
10,2018-03-16 18:00:31,"RT @ThabangMoloatsi: Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is ju…"
11,2018-03-16 17:34:31,"RT @ThabangMoloatsi: Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is ju…"
12,2018-03-16 16:29:09,"RT @ThabangMoloatsi: Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is ju…"
13,2018-03-16 16:08:16,"RT @ThabangMoloatsi: Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is ju…"
14,2018-03-16 15:49:19,"RT @ThabangMoloatsi: Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is ju…"
15,2018-03-16 15:36:45,"Court case of EFFSC leader and fees must fall activist Timothy Mashilo postponed to 8 June 2018.
Justice delayed is… https://t.co/UAzvAZARSK"
16,2018-03-16 12:45:06,Very upsetting @BankofAmerica cant close on time. My client is now homeless and at risk of losing her deposit becau… https://t.co/NxMJEdKKlJ
17,2018-03-15 17:07:58,"Congrats to #BofA’s CMO, Meredith Verdone, on her recognition as one of the top 20 CMOs driving innovation https://t.co/I0GYtiUNVw"
18,2018-03-15 08:52:32,"RT @TomoboxHQ: #BofA has just pulled the plug on #FreeChecking account. Are #CreditUnions equipped to get those #customers? 

Well, not if…"
19,2018-03-15 02:00:34,#JPMorgan Joins #BofA in Quiet Warning: #Crypto Could Disrupt Banks - #Bloomberg #investorseurope #stocks  https://t.co/mIhc2xAIMq
20,2018-03-15 00:59:53,"RT @Evenings_Star: LOOK. Democrat John Kerry, Aga Khan &amp; Trudeau IN INDIA With Potentially Overlapping Time Frames. Guess What's Occurring?…"
21,2018-03-14 23:59:45,"RT @Evenings_Star: LOOK. Democrat John Kerry, Aga Khan &amp; Trudeau IN INDIA With Potentially Overlapping Time Frames. Guess What's Occurring?…"
22,2018-03-14 23:57:27,"RT @Evenings_Star: LOOK. Democrat John Kerry, Aga Khan &amp; Trudeau IN INDIA With Potentially Overlapping Time Frames. Guess What's Occurring?…"
23,2018-03-14 23:00:24,"RT @Evenings_Star: LOOK. Democrat John Kerry, Aga Khan &amp; Trudeau IN INDIA With Potentially Overlapping Time Frames. Guess What's Occurring?…"
24,2018-03-14 22:52:23,"RT @Evenings_Star: LOOK. Democrat John Kerry, Aga Khan &amp; Trudeau IN INDIA With Potentially Overlapping Time Frames. Guess What's Occurring?…"
25,2018-03-14 14:51:24,#cnbc #bloomberg #thestreet #barrons #wallstreetjournal #jpmorgan #bofa #wellsfargo #HealthcareRevolution… https://t.co/UP8YYmNzSu
26,2018-03-14 10:23:12,Vice Chairman @AnneFinucane on how #BofA is growing our business in a way that creates shared success with our empl… https://t.co/9uNvHwU51k
27,2018-03-13 20:47:34,@EdmontonOilers #Letsgooilers #bofa lose every game of the year I don’t care just beat the #flames ?
28,2018-03-13 12:23:45,#bofa https://t.co/4hlwYWHgKn
29,2018-03-13 11:54:17,"#BofA’s commitment to sustainability is on display at their flower show exhibit, “Without Water."" https://t.co/d2dCY4hG6u"
30,2018-03-13 07:52:01,#JPMorgan Joins #BofA in Quiet Warning: #Crypto Could Disrupt Banks - #Bloomberg #investorseurope #stocks  https://t.co/YWD8iVnZg8
31,2018-03-13 01:08:18,@BofA_Help Accepted the ATT bankamerideals offer well before 3/2 and completed 2 transactions before 4/17 as the te… https://t.co/mJ8VMMFhCF
32,2018-03-12 15:00:54,"RT @Algovag0: Comprando los siguientes saldos:
#PAYPAL
#WESTERN
#BOFA
#SKRILL
Pagando por Banesco."
33,2018-03-12 14:59:52,"Comprando los siguientes saldos:
#PAYPAL
#WESTERN
#BOFA
#SKRILL
Pagando por Banesco."
34,2018-03-12 14:30:01,This Branch / #bankofamerica is not using the Drive Thru for the last 3 months. Reason? Only one teller. OMG .... 1… https://t.co/EZl3GQavTB
35,2018-03-12 14:22:04,"RT @annoyingfan: @Johnbeverage3 @DLoesch You should check it out when you're CHO KENON DEEZ NUTZ!!! LOG OFF!!!
#rekt #owned #bofa 

@Your_P…"
36,2018-03-12 13:09:41,"RT @annoyingfan: @Johnbeverage3 @DLoesch You should check it out when you're CHO KENON DEEZ NUTZ!!! LOG OFF!!!
#rekt #owned #bofa 

@Your_P…"
37,2018-03-12 10:41:40,Congrats to #BofA for joining the #NAFETop Companies for Female Execs with these women at the helm. https://t.co/i6kOLe4lcL
38,2018-03-12 03:55:13,"RT @annoyingfan: @Johnbeverage3 @DLoesch You should check it out when you're CHO KENON DEEZ NUTZ!!! LOG OFF!!!
#rekt #owned #bofa 

@Your_P…"
39,2018-03-12 03:39:24,"@Johnbeverage3 @DLoesch You should check it out when you're CHO KENON DEEZ NUTZ!!! LOG OFF!!!
#rekt #owned #bofa… https://t.co/4AKYLTEVmZ"
40,2018-03-11 22:24:36,RT @SaulMPhoto: It seems #bofa has a pretty cozy relationship with #gun manufacturers. @BankofAmerica should reconsider their relationships…
41,2018-03-11 19:33:50,"After being forsaken by the major banks for years, I wonder how quickly the larger cannabis companies will flock to… https://t.co/GXdHT657Qo"
42,2018-03-11 17:49:01,It seems #bofa has a pretty cozy relationship with #gun manufacturers. @BankofAmerica should reconsider their relat… https://t.co/Ziplp99Koy
43,2018-03-11 16:49:52,They are prolific armed robbers #BOFA &amp; I hate their guts...but I have not had experience w/them https://t.co/Mx3qUfZn5d
44,2018-03-11 13:51:49,@businessinsider @BIPrime Clearly #bofa knows the #Economy! Remember how well they read the #housing #market? #toobigtofail
45,2018-03-11 08:27:02,@GroveBootCamps I promised myself I wasn't going to think about #BofA and #OneWest Bank this weekend.  ? Did you ha… https://t.co/OS0Gv2VIr9
46,2018-03-11 02:42:54,Today I did yoga with Frank Gallagher along w/ a Desperate Housewife. ??Then lost my CC?? #BofA let me in right at… https://t.co/NgLeS6P7NP
47,2018-03-11 02:18:58,I love Alaska airlines but #bofa has been terrible.   We lost $700 in airline tix because of erroneous denial of ai… https://t.co/xr61sflNZ4
48,2018-03-11 00:06:38,RT @huntryoungquist: @ABHllc @Tusker13 @waynejacker @kevinofpgh @Whitey_83 @HaverOfOpinions @RealJamesWoods @DNC *extremely CHRIST I FELT T…
49,2018-03-11 00:03:12,@ABHllc @Tusker13 @waynejacker @kevinofpgh @Whitey_83 @HaverOfOpinions @RealJamesWoods @DNC *extremely CHRIST I FEL… https://t.co/7QoKlQd2UR
50,2018-03-11 00:00:20,RT @Spoonamore: @TanyasTwit @jennycohn1 @rubenkmajor @Nasty_Woman1 @moveover4me2 @crzyuncletrump @adirtyhippieee @MtnMD @1jasliz @lovetogiv…
51,2018-03-10 23:54:29,much thanks to #bofa cashback offer &amp; @Ebates for making this @directvnow #4k #AppleTV offer/purchase a no-brainer.… https://t.co/LURSQullrb
52,2018-03-10 23:42:46,RT @packet_Wire: #phishing #BofA hxxps://www.duvankart.com/wp-includes/web/auth/verify/BOA/en .@malwrhunterteam @malware_traffic @wifirumha…
53,2018-03-10 23:15:41,RT @Spoonamore: @TanyasTwit @jennycohn1 @rubenkmajor @Nasty_Woman1 @moveover4me2 @crzyuncletrump @adirtyhippieee @MtnMD @1jasliz @lovetogiv…
54,2018-03-10 20:47:23,RT @packet_Wire: #phishing #BofA hxxps://www.duvankart.com/wp-includes/web/auth/verify/BOA/en .@malwrhunterteam @malware_traffic @wifirumha…
