,0,1
0,2018-03-18 20:01:59,"#Yahoo  Chopper flights with open doors, tight restraints grounded https://t.co/0wd9m7k91s"
1,2018-03-18 20:01:55,#Yahoo  Lawmakers Weigh In On Firing of Andrew McCabe https://t.co/JtKnUf3L07
2,2018-03-18 19:58:15,Alaska LNG Is Finally Clear For Takeoff #Yahoo: https://t.co/pDwr1XW8Vz #COP.US #United States #Hong Kong Index #S&amp;… https://t.co/1hn6UqlVZm
3,2018-03-18 19:54:27,RT @tbgsecurity: Data breach victims can sue #Yahoo in the United States: judge https://t.co/odzVCYgOyQ  #infosec #cybersecurity https://t.…
4,2018-03-18 19:53:45,"(3-minute): Donald Trump video. https://t.co/h3UzjwLrZy … … … 
#google #bing #yahoo #baidu #ask #aol #duckduckgo… https://t.co/VQ6e4fm41O"
5,2018-03-18 19:46:02,#Yahoo  Teacher apologizes for accidentally firing gun in classroom https://t.co/LDYzKhmEdY
6,2018-03-18 19:45:19,U.S. Republican lawmakers concerned by Facebook data leak #Yahoo: https://t.co/9SxGAwj3k9 #FB.US #ZAR #USDZAR… https://t.co/ac8wyAupLz
7,2018-03-18 19:43:55,??????????????????Core i5 2500K/Dual 4GB/500GB/DVD±R/Intel H61 https://t.co/0sSrXC8Bqx ?????? https://t.co/hJnRm5KVZ6 #Yahoo #???
8,2018-03-18 19:43:42,??????????????????Core i5 2500K/Dual 8GB/1TB/DVD±R/Intel H61 https://t.co/mBST9uKFB7 ?????? https://t.co/ParEI14Fdd #Yahoo #???
9,2018-03-18 19:41:07,#RexTillerson ouster &amp; replacement with #MikePompeo was planned by #POTUS months B4 he fired him by #Tweet. Wonder… https://t.co/6Kfiqo6fr2
10,2018-03-18 19:39:11,#Yahoo  Bridge Design Team Had Meeting On Crack Hours Before Deadly Florida Collapse https://t.co/qOITbg7Znv
11,2018-03-18 19:36:45,??????????V ?? https://t.co/7d3YLMB4KK #Yahoo! https://t.co/LPniWdJvge
12,2018-03-18 19:32:18,#Yahoo  Cambridge Analytica: Massachusetts attorney general promises investigation https://t.co/IjQLOhjzvR
13,2018-03-18 19:31:21,[$$] Snap Contends With User Outcry: New Isn't Necessarily Better #Yahoo: https://t.co/AAdaTjzO4y #FB.US #S&amp;P 500 I… https://t.co/2AWzh0OzZY
14,2018-03-18 19:24:36,#Yahoo  US-Saudi partnership: a long affair https://t.co/MLJPr0rrcv
15,2018-03-18 19:22:23,?????????????????????1????20?? https://t.co/gHlxY0vAX0 https://t.co/0Wwl6aecPe #Yahoo!???
16,2018-03-18 19:18:58,"????????? 62 STRATOCASTER 3color Sunburst Lake Placid Blue????????
https://t.co/SkQiifiNID
#yauc #???? #YAHOO ??????
??????????????"
17,2018-03-18 19:18:47,"#Yahoo  Police: Gunman kills ex-wife at California mall, wounds self https://t.co/3r1rC4Bm35"
18,2018-03-18 19:13:45,??????????????????Core i7 2600K/Dual 4GB/500GB/DVD±R/Intel H61 https://t.co/T0mqsxqkbx ?????? https://t.co/hJnRm5KVZ6 #Yahoo #???
19,2018-03-18 19:13:26,??????????????????Core2 Duo E6550/Dual 2GB/500GB/DVD±R/Intel G31/ICH7 https://t.co/DAVmEdLMPn ?????? https://t.co/ParEI14Fdd #Yahoo #???
20,2018-03-18 19:13:08,#Yahoo  Irish Prime Minister Leo Varadkar joins St Patricks Parade https://t.co/4zFBS9gd2l
21,2018-03-18 19:09:46,"RT @LS_IA_AD: #Yahoo hack hit all 3 billion users, #Verizon now says https://t.co/MK1XNozctT #identityTheft https://t.co/HUEFd5uHc0"
22,2018-03-18 19:04:12,I used to be transgender. Here’s my take on kids who think they are transgender. https://t.co/GedGJATSZs #abc #cbs… https://t.co/DG6fNJDTYl
23,2018-03-18 19:00:00,#Yahoo  John Goodman and 's Angry Rex Tillerson Spews About Being Fired By A and 'Moron https://t.co/HnbAK2450G
24,2018-03-18 18:56:42,RT @populus1q3: ????? ???????? https://t.co/X9B6us3vUm #Yahoo! https://t.co/XURE3ueCsm
25,2018-03-18 18:54:51,"Ventenne uccisa nel siracusano, il paese sotto shock #Yahoo! Italia - Notizie #Finanza #Azioni https://t.co/nZCxppEfU5"
26,2018-03-18 18:54:46,"Moro, Siulp: grave presenza terroristi in tv, intervenga Gentiloni -2- #Yahoo! Italia - Notizie #Finanza #Azioni https://t.co/dplX1AyVyv"
27,2018-03-18 18:54:25,"Posting optimal cash LU's for #NBA on #Fanduel, #Draftkings, #Fantasydraft and #Yahoo for FREE. Just have fun and e… https://t.co/BXzP4wxawb"
28,2018-03-18 18:52:26,RT @KolaBlueRose: https://t.co/CdyrK1h7dQ #google #googlplus #yahoo #bing #sale ................on sale jewelry earrings vintage tribal dan…
29,2018-03-18 18:49:45,????? ???????? https://t.co/X9B6us3vUm #Yahoo! https://t.co/XURE3ueCsm
30,2018-03-18 18:48:59,#Yahoo  Rubio: McCabe should have been allowed to finish through the weekend https://t.co/Z95HfyLdfV
31,2018-03-18 18:47:22,Lockheed (LMT) Wins $481M Deal for Combat Ship Construction #Yahoo: https://t.co/lzhrpSJK6t #GD.US #United States… https://t.co/VMLXqLzWCY
32,2018-03-18 18:43:51,??????????????????Core i7 2700K/Dual 4GB/500GB/DVD±R/Intel H61 https://t.co/Y8y7JK6Ywj ?????? https://t.co/hJnRm5KVZ6 #Yahoo #???
